abandon	v::离弃；放弃	with abandon::恣意地，放纵地¦abandon ship::弃船
ward	n::(房屋中的)隔间；(尤指)病房	ward off::避开；挡住¦isolation ward::n. 隔离病房¦surgical ward::外科病房¦medical ward::内科病房¦maternity ward::产科病房¦ward inspection::病室巡诊，查房¦watch and ward::日夜守卫；时刻戒备
warden	n::管理员，监护人	traffic warden::n. 交通管理员
wardrobe	n::衣柜，衣橱，全部服装；剧服，行头	
warehouse	n::仓库	data warehouse::数据仓库¦warehouse management::仓库管理，仓储管理；仓库治理¦bonded warehouse::保税仓库，关栈¦warehouse to warehouse::仓至仓¦warehouse space::仓库容积¦warehouse receipt::仓单；栈单；仓库收据¦warehouse to warehouse clause::仓库至仓库条款¦warehouse supervisor::仓库主管；仓库管理人¦warehouse keeper::仓库管理员¦warehouse stock::仓库库存¦automatic warehouse::自动仓库；自动化仓库
warranty	n::书面担保书，保证书	warranty period::保修期；保证期间¦limited warranty::有限质量保证；有限保固¦product warranty::产品保证¦under warranty::在保修期内¦warranty card::保修卡；保证卡；联保单¦implied warranty::[经]默认保证；[经]默示担保¦breach of warranty::违反保证；违背诺言¦extended warranty::保修保险，延长保修；延长的保证期¦warranty claim::担保请求权
wary	adj::谨慎的，小心的	wary of::adj. 小心翼翼的；警觉的；谨防的
waver	v::摆，摇晃；动摇；犹豫不决	
wax	n::蜡，蜂蜡¦v::上蜡	paraffin wax::n. 固体石腊¦on the wax::正在变大；在增加¦wax printing::蜡染¦wax emulsion::蜡乳化液；乳状石蜡¦wax gourd::冬瓜¦wax and wane::月圆月缺；盈亏；兴衰成败¦wax pattern::蜡模¦microcrystalline wax::微晶蜡；微晶石蜡¦wax oil::蜡油¦polishing wax::打光蜡¦lost wax casting::蜡模铸造；失蜡铸造；脱蜡铸造¦floor wax::地板蜡；擦地板布¦wax paper::蜡纸（用于包装物品）¦wax museum::蜡像馆¦carnauba wax::巴西棕榈蜡；加诺巴蜡¦sealing wax::封蜡；火漆¦hard wax::硬蜡¦slack wax::疏松石蜡；粗蜡¦petroleum wax::石油蜡；石蜡¦ear wax::[医]耳垢
weary	adj::疲倦的，困乏的；令人厌倦的	weary of::疲倦；厌烦于¦weary with::因…而厌烦
weave	vt&vi::织，编；编排；迂回	plain weave::平纹梭织，平纹布；平布¦twill weave::斜纹组织；斜纹织；斜织法¦satin weave::缎织；缎纹组织¦weave structure::织物组织¦weave through::穿梭¦weave into::把...交织在一起
web	n::网	web site::网页；网址¦web page::网页¦world wide web::[计算机]万维网¦web browser::浏览器¦web server::[计]网络服务器¦web hosting::虚拟主机；[计]主机托管¦web service::网络服务¦semantic web::语义网；语义万维网¦food web::食物网，食物链；食物循环¦spider web::n. 蜘蛛网¦a web of lies::一片谎话¦web plate::腹板；连接板¦open web::空腹¦web offset::[印]卷筒纸胶印¦web tension::纸幅张力；卷筒纸拉力¦web camera::网络摄像头¦web surfer::网站浏览者¦web press::卷筒纸印刷机；轮转印刷机¦spider's web::蜘蛛网¦penelope's web::永远完成不了的工作；拖延策略
wedge	n::楔子，楔形物¦v::挤进；把楔住	wedge in::挤入；插入¦wedge angle::楔角；研磨角；尖角¦wedge block::楔块；楔合块；楔形块¦wedge shape::楔形¦slot wedge::槽楔；槽边缘¦double wedge::双楔翼形，菱形翼形¦wedge heel::坡跟鞋；楔形跟¦optical wedge::光楔；光学劈片；光学梯尺
weed	vt&vi::除草；除去，剔除	weed control::除草；杂草防除；野草控制¦weed out::清除；淘汰；除去¦weed killer::除草剂¦sea weed::海苔，海带；赤菜，海草
weird	adj::怪诞的；离奇的，古怪的；超自然的	
weld	v&n::焊接熔接	weld seam::焊缝¦weld metal::焊缝金属¦weld pool::焊池¦weld joint::焊缝¦butt weld::对接焊缝；对头焊接¦spot weld::焊点；点焊（缝）¦weld penetration::焊透深度；焊接渗透；焊透¦weld line::熔接线；焊接纹¦fillet weld::角焊缝¦weld bead::焊缝；焊珠；熔敷焊道¦arc weld::电弧焊；弧焊焊缝；电弧焊接¦appearance of weld::焊缝成形¦weld zone::焊接区¦backing weld::用垫环的焊缝；底焊焊缝；打底焊道¦girth weld::环形焊缝；周围电焊¦weld strength::焊接强度¦spiral weld::螺旋形焊缝¦groove weld::坡口焊，凹槽焊；开槽焊接¦corner weld::角接焊缝；角焊；角焊道¦weld wire::包铜钢丝；铜包钢丝；包钢铜丝
welfare	n::幸福，福利；社会保障	social welfare::社会福利；社会福利工作（等于social work）¦public welfare::公共福利，公用福利设施；社会福利¦welfare system::福利体系¦welfare state::福利国家¦welfare economics::[经]福利经济学¦economic welfare::经济福利¦welfare lottery::福利彩票¦general welfare::公共福利¦child welfare::儿童福利；保育¦on welfare::接受救济的；接受生活照顾的¦welfare work::福利工作¦welfare fund::n. 福利基金¦public welfare forest::公益林¦welfare facilities::福利设施¦social welfare function::社会福利函数；社会福利功能¦welfare cost::社会福利支出；福利费
whatever	adj::任何的，无论什么样的	or whatever::等等；诸如此类的事
whereas	conj::鉴于；反之	
accord	n::一致，符合	accord with::同…相符合；与…一致¦in accord with::同…相符合；与…一致¦with one accord::一致地¦out of accord with::同…不一致¦accord development::和谐发展¦of its own accord::自动地；自愿地；自然而然¦honda accord::[汽车]本田雅阁
account	n::账目；帐户；计算¦v::说明	account of::在某人帐上重视，\t记帐¦account for::对…负有责任；对…做出解释；说明……的原因¦your account::您的帐号¦take into account::考虑；重视；体谅¦on account::记帐，赊帐；分期付款¦on account of::由于；因为；为了…的缘故¦bank account::银行存款；银行往来帐户¦be taken into account::[俚]被考虑¦current account::经常帐；活期存款帐户¦account number::帐号¦of account::重要的；有价值的¦savings account::储蓄帐户¦no account::没用的；无交易；未交帐户；无会计科目¦account management::账户管理¦capital account::资本性帐户；固定资产帐户¦open an account::开立帐户¦take account of::考虑到；顾及；体谅¦deposit account::存款帐户；储蓄存款¦new account::新帐户；新开帐户¦checking account::活期存款；支票户头；活期存款户头
accountable	adj::for¦对::应付责任	accountable for::负责，对…应付责任
accountant	n::会计员	certified public accountant::有合格证件的会计师¦public accountant::公共会计师¦chief accountant::总会计师；会计主任，会计处长¦chartered accountant::注册会计师；会计师；特许会计师¦professional accountant::专业会计师¦certified accountant::注册会计师；审定会计师¦tax accountant::税务会计；税务师¦assistant accountant::助理会计¦senior accountant::高级会计；主任会计师¦junior accountant::初级会计师；助理会计员¦qualified accountant::合格的会计师
accumulate	n::积累，积聚	
accuse	v::控告	accuse of::谴责，控告
achieve	v::完成，达到	achieve success::取得成功；获得成功¦achieve one's goals::实现目标
acid	adj::酸的；尖刻的¦n::酸	amino acid::n. [化]氨基酸¦acetic acid::[化]醋酸，乙酸¦sulfuric acid::硫酸¦fatty acid::[化]脂肪酸¦lactic acid::乳酸¦phosphoric acid::[化]磷酸¦acrylic acid::丙烯酸¦hydrochloric acid::盐酸¦citric acid::柠檬酸¦nitric acid::[化]硝酸¦sulphuric acid::硫酸¦acid rain::酸雨¦hyaluronic acid::[生化]透明质酸；玻璃酸¦organic acid::有机酸¦nucleic acid::[生化]核酸¦benzoic acid::[化]苯甲酸¦acid solution::[化]酸溶液¦lactic acid bacteria::乳酸菌¦acid content::酸性含量¦oxalic acid::[化]草酸
acknowledge	v::承认；表示收到信件，表示感谢	acknowledge receipt::证实收到¦acknowledge receipt of::收到
acquaint	v::使认识；使熟悉	acquaint with::熟悉；使认识，使了解
acquire	v::取得；获得	
acquisition	n::获得，获得物	data acquisition::数据采集¦data acquisition system::数据采集系统；资料获取系统¦language acquisition::语言习得¦land acquisition::土地征用¦merger and acquisition::收购兼并；兼并与收购¦knowledge acquisition::知识获取；知识习得；知识获得；知识采集¦information acquisition::信息获取；信息采集¦acquisition time::收集时间¦target acquisition::自标探测，目标获取¦acquisition cost::取得成本；购置成本¦acquisition and merger::兼并¦acquisition of land::收购土地¦acquisition of assets::购置资产；资产的取得¦data acquisition unit::数据采集器¦acquisition agreement::收购协议¦acquisition price::购置价格
activate	v::使活动，触发	
allege	v::断言；宣称	
allegiance	n::忠诚	pledge of allegiance::效忠誓言
alleviate	v::减轻(痛苦等)	
alliance	n::联盟，同盟	strategic alliance::战略联盟（两家公司的合作安排，两者决定分享资源，互补长短）；策略联盟¦star alliance::星空联盟（全球最大的航空联盟）¦in alliance with::与…联盟¦logistics alliance::物流联盟¦alliance member::联盟成员¦make an alliance::结盟，结成联盟
allocate	v::分配，配给	allocate funds::拨款；分配资金¦allocate for::为…而分配；把…拨给
allot	v::分配；拨给¦n::部分；小块菜地	
allowance	n::津贴	allowance for::…的留量；…的修正值¦housing allowance::n. 住房津贴¦make allowance::体谅；留余地¦make allowance for::体谅，考虑到；为…留余地¦living allowance::生活津贴¦machining allowance::机械加工余量¦baggage allowance::行李重量限额；免费携带行李；行李津贴¦seam allowance::止口；子口；缝头¦allowance for depreciation::折旧备抵；备抵折旧¦post allowance::岗位津贴；职位津贴¦daily allowance::每日津贴¦meal allowance::伙食补贴¦purchase allowance::购货折让¦extra allowance::额外津贴
alloy	n::合金	aluminum alloy::[冶金]铝合金¦aluminium alloy::铝合金¦magnesium alloy::镁合金¦alloy steel::合金钢¦titanium alloy::钛合金¦hard alloy::硬质合金¦zinc alloy::锌合金¦copper alloy::铜合金¦low alloy::低合金¦shape memory alloy::形状记忆合金¦low alloy steel::低合金钢¦alloy powder::合金粉末；铝金粉末¦amorphous alloy::非晶态合金，无定形合金¦metal alloy::金属合金¦alloy casting::n. 合金铸件，合金铸造¦alloy plating::合金电镀¦alloy wire::合金线；合金钢丝¦tungsten alloy::钨合金¦iron alloy::铁合金¦alloy layer::合金层
ally	n&vt::同盟者，伙伴；结盟	ally with::与…结盟
alone	a&ad::孤独的(地)	let alone::更不必说；听任；不打扰¦all alone::独立地，独自地¦stand alone::孤立；独一无二¦alone with::与…一起¦live alone::独自生活；一个人住；单独居住¦left alone::不干涉，不管；放开¦feel alone::感到孤单¦go it alone::单干；独自过活¦go alone::一个人去；独自去¦travel alone::单独一人旅游¦leave alone::不打扰；不干涉；不管；不理¦alone with her::与她在一起（电影名称）
