abandonment	ə'bændənmənt	əˈbændənmənt	n::放弃		...memories of her father's complete abandonment of her.::…她父亲对她的彻底抛弃的那些记忆。
transition	træn'zɪʃən	træn'zɪʃ(ə)n; trɑːn-; -'sɪʃ-	n::转变，变迁；过渡	transition period::过渡时期¦phase transition::相变¦transition temperature::[电]转移温度¦transition metal::过渡金属¦glass transition::[物]玻璃转化¦glass transition temperature::玻璃化温度；玻璃转换温度¦transition zone::过渡区；转变区；移行区¦smooth transition::顺利过渡，平稳过渡¦state transition::状态转换¦transition state::过渡状态，转变状态¦transition probability::转移概率；跃迁概率¦transition layer::过渡层；转变层¦transition region::[植]过渡区；[物]渡越区¦transition curve::过渡曲线，介曲线；缓和曲线；转变曲线¦transition economy::转轨经济¦transition matrix::跃迁矩阵¦transition point::[电]转移点¦transition time::瞬变时间，渡越时间；迁移时间¦gradual transition::渐变；逐次跃迁；缓变结¦phase transition temperature::相变温度；相转变湿度	Making the transition from youth to adulthood can be very painful.::从青少年过渡到成年有时是一个非常痛苦的过程。¦a society that is in transition::一个正在转型的社会¦the period of transition to full democracy::向全面民主的过渡时期
torque	tɔrk	tɔːk	n::转（力）矩，扭（力）矩	torque control::转矩控制，力矩调节¦torque converter::液力变矩器；转矩变换器¦torque ripple::转矩波动¦starting torque::起动转矩，起动扭矩¦output torque::输出转矩；输出力矩；输出扭矩¦torque motor::力矩马达；陀螺修正马达；罗盘矫正电动机¦load torque::n. 负载转距，负荷扭矩¦friction torque::摩擦力矩；摩擦转矩；摩擦扭矩¦electromagnetic torque::电磁转矩¦brake torque::制动转矩¦hydraulic torque converter::液压扭矩变换器¦braking torque::制动力矩；制动转矩；制动扭矩¦motor torque::电机扭矩，马达转矩；电动机转矩¦torque sensor::扭矩传感器¦driving torque::驱动转矩；传动转矩；传动力矩¦dynamic torque::动态扭矩¦engine torque::发动机扭矩；引擎转矩¦torque output::扭力输出¦torque wrench::扭力扳手；转矩扳手；定力矩扳手¦tightening torque::[化]拧紧力矩，拉紧转矩	In rotation, force becomes torque, mass becomes moment of inertia, and acceleration becomes angular acceleration.::在旋转时，力变成力矩，质量变成转动惯量，加速度变成角加速度。¦The Tesla’s rapid acceleration comes from the ability of an electric motor to deliver its maximum amount of torque at whatever speed the motor is turning.::特斯拉之所以拥有如此优异的加速性能，其原因在于电动马达无论在什么速度下都可以为车辆提供最大的扭矩。
box	bɑks	bɒks	n::（法庭的）专席	dialog box::[计]对话框，对话窗口¦in the box::在盒子里；在方框中；（美俚，禁忌语）（男人）正与女人性交¦box girder::n. [建]箱形梁¦box office::票房；售票处¦box in::vt. 矩形缩小；盒状收缩；围起来¦gear box::齿轮箱¦black box::黑盒子¦gift box::礼品盒；礼物盒；彩盒¦control box::n. 操纵台，控制箱，操作箱¦paper box::纸箱¦check box::[计]复选框¦box beam::箱形梁，盒形梁¦text box::文字框；正文框¦in a box::为难；进退维谷¦wooden box::木箱；木盒子¦packing box::填料盒；填料函¦sound box::音箱¦list box::列表框¦combo box::[计]组合框¦light box::灯箱；标准灯箱；照光盒；航行识别灯控制箱	the jury box::陪审团席
workshop	'wɝkʃɑp	'wɜːkʃɒp	n::专题讨论会	processing workshop::[经]加工车间¦workshop section::工段¦workshop building::厂房¦repair workshop::修理车间；机修厂¦workshop director::车间主任¦workshop manager::车间主任¦painting workshop::喷漆车间，喷涂车间	Trumpeter Marcus Belgrave ran a jazz workshop for young artists.::鼓手马库斯马贝尔格瑞夫为年轻艺术家们举办了一场爵士乐研讨会。
patent	'pætnt	'pæt(ə)nt; 'peɪt(ə)nt	adj::专利的¦n::专利	national patent::国家专利¦patent law::专利法，专利权法¦patent application::专利申请书¦patent protection::专利保护¦patent office::专利局¦patent system::专利制度，专利制¦patent medicine::成药；专利药品¦patent infringement::专利侵权¦patent and trademark office::专利与商标局¦design patent::设计专利；工业样品的专利权¦patent agent::专利代理人¦patent agency::专利代理；专利代理机构¦patent ductus arteriosus::动脉导管未闭；开放性动脉导管¦patent document::专利文件¦patent pending::专利申请中；专利未决¦patent attorney::代理人，专利代理人；专利律师；特许弁护士¦patent cooperation treaty::专利合作条约¦product patent::产品专利权¦patent holder::专利持有方¦patent pool::专利联营；专利权共享互用的一组企业	a patent lock::专利锁¦He held a number of patents for his many innovations.::他为他的许多革新申请了几项专利。
clutch	klʌtʃ	klʌtʃ	v::抓住，掌握，攫	in the clutch::[口语]在关键时刻¦electromagnetic clutch::电磁离合器¦clutch at::抓住¦friction clutch::摩擦离合器¦automobile clutch::汽车离合器¦clutch disc::离合器片；离合圆盘¦clutch pedal::离合器踏板；离合皮板¦clutch cover::离合器盖¦overrunning clutch::单向离合器；超速离合器¦clutch plate::离合器片，从动盘¦safety clutch::过载离合器，安全离合器¦automatic clutch::自动离合器¦clutch brake::离合器制动器；离合脾；离合器煞车¦clutch assembly::离合器总成¦clutch housing::离合器壳¦clutch disk::离合器	She was clutching a bottle of champagne.::她手里紧紧抓着一瓶香槟酒。
nest	nɛst	nest	v::筑巢，为…筑巢	bird's nest::n. 燕窝；鸟巢¦bird nest::鸟窝；炉渣¦empty nest::空巢；空巢期；儿女长大离家¦nest egg::储蓄金，储备金（为养老或应变等用）¦hornet's nest::n. 黄蜂窝；马蜂窝¦mare's nest::幻想的东西；杂乱；骗局¦empty nest syndrome::空巢综合症	They say eagles used to nest in those rocks.::他们说以前常有老鹰在那些岩石中筑巢。
coin	kɔɪn	kɒɪn	v::铸造（硬币）	gold coin::金币；小钱¦false coin::n. 假币¦silver coin::银币¦copper coin::n. 铜币¦flip a coin::抛钱币（决定）¦toss a coin::抛硬币决定问题；掷硬币猜正反面的赌博¦coin money::vi. 暴富；获暴利¦current coin::◎通货(指铸币)¦coin purse::装硬币的钱包；钱包；零钱袋¦commemorative coin::纪念币	
noted	'notɪd	'nəʊtɪd	adj::著名的，知名的	noted for::因……而著名	a noted author::著名作家
watchful			adj::注意的，警惕的		The entrances are guarded by watchful security staff.::入口处由警惕的保安人员把守。¦His eyes were watchful.::他目光警惕。
inject	ɪn'dʒɛkt	ɪn'dʒekt	v::注射；注满；喷射		His son was injected with strong drugs.::他的儿子被注射了强效的药。
storage	'stɔrɪdʒ	'stɔːrɪdʒ	n::贮藏；保管	data storage::数据存储¦storage system::存储系统；存储器存储系统¦energy storage::蓄能；能量储存；储能器¦storage tank::储油罐；储蓄槽¦storage space::贮存面积，存储空间；贮藏室¦cold storage::冷藏；坟墓¦storage capacity::存储容量；蓄电池容量；积聚电容¦gas storage::气体贮藏，充气贮藏；储气罐¦water storage::蓄水；水库；水上贮木¦oil storage::油库；油料储存¦storage battery::蓄电池；蓄电池组¦storage stability::贮存稳定性；耐储存性¦storage time::储存时间¦storage device::[计]存储设备¦storage period::保藏期，储存期；贮藏期；蓄水期¦pumped storage::[电工学]抽水蓄能¦storage area::存储区；贮油区；贮物用地¦storage life::保存期限¦storage and transport::储运¦storage equipment::存储设备；储藏设备	the storage of highly radioactive material::高放射性材料的存放¦storage costs::保管费用
position	pə'zɪʃən	pə'zɪʃ(ə)n	n::形势；主张，立场	leading position::基础地位；首要地位¦geographical position::地理位置¦in position::就位；在适当的位置；在原位¦pole position::起始领先位置；跑道内圈¦market position::市场地位；市场定位¦in a position to::能够，可以¦position control::位置控制¦strategic position::战略地位；策略位置¦relative position::相对位置¦body position::体位¦key position::关键部位，要害部位；位置关键帧¦high position::高位，指重要位置；领导地位（身份）¦financial position::财务状况¦current position::目前位置，当前位置；流动财务状况¦social position::社会地位¦in the position of::处在…位置上¦position error::位置误差¦special position::特殊位置；特殊版面；特殊版位¦original position::原初状态；初始位置¦invincible position::不败之地	I’m not sure what I would do if I were in your position .::我不知道如果我身在你的处境会怎么办。¦You’re putting me in rather a difficult position.::你让我很难办。¦The principal took the position that the students didn’t need music classes.::那位校长认为学生不需要上音乐课。¦What’s the party’s position on tax reform?::该党对于税制改革持什么态度？
metropolitan	,mɛtrə'pɑlɪtən	metrə'pɒlɪt(ə)n	adj::主要都市的¦n::（东正教和天主教的）大主教	metropolitan area::大城市区域，大都市区；大都会区¦metropolitan museum::大都会博物馆¦metropolitan police::都市警察¦metropolitan museum of art::大都会艺术博物馆¦metropolitan area network::城域网¦metropolitan park::都市公园¦metropolitan opera::n. 纽约大都会歌剧院	a metropolitan area of South Australia::南澳大利亚的一个都市区¦...the Ukrainian Catholic representatives, Metropolitan Volodymyr and Bishop Sofron.::乌克兰的天主教代表——弗拉基米尔大主教和索夫龙主教
principally	'prɪnsəpli	'prɪnsɪp(ə)lɪ	adv::主要，大抵		The money is principally invested in stocks and shares.::这笔钱主要投资于股票。¦He was principally a landscape painter.::他主要是风景画画家。¦We met principally to discuss the future of the school.::我们开会主要是为了商讨学校的前途。
stalk	stɔk	stɔːk	n::主茎，叶柄	corn stalk::玉米杆¦flower stalk::n. 花柄¦pituitary stalk::n. 垂体；脑垂腺柄	celery stalks::芹菜茎
preside	prɪ'zaɪd	prɪ'zaɪd	v::主持；主奏	preside over::主持；负责¦preside at::主持；负责	I shall be pleased to preside at your meetings.::我很高兴主持你们的会议。¦Mr Justice Waller, presiding judge for the northeast::沃勒法官，东北地区的首席法官
eject	ɪ'dʒɛkt	ɪ'dʒekt	v::逐出，排斥；喷射		The demonstrators were ejected from the hall.::示威者被赶出大厅。¦Two engines cut out and the plane started to eject fuel as it lost height.::两个发动机突然熄火，飞机在下降的同时开始喷出燃料。
bamboo	,bæm'bu	bæm'buː	n::竹；竹杆，竹棍	bamboo shoot::竹笋，笋¦bamboo leaves::竹叶¦bamboo grove::竹林¦bamboo pole::竹枝¦bamboo curtain::竹幕（西方资产阶级舆论界过去对我国的诬蔑性用语）¦bamboo basket::竹篮；竹篓¦bamboo raft::竹筏；竹排¦bamboo fence::竹篱笆	...huts with walls of bamboo.::…竹墙小屋。
