pharmacy	n. 药房；配药学，药剂学；制药业；一批备用药品
angelic	adj. 天使的；似天使的；天国的
sensation	n. 感觉；轰动；感动
nettle	v. 刺激；惹恼；用荨麻刺 n. 荨麻 adj. 荨麻科的
disparity	n. 不同；不一致；不等
frequency	n. 频率；频繁
copious	adj. 丰富的；很多的；多产的
milestone	n. 里程碑，划时代的事件
fidelity	n. 保真度；忠诚；精确；尽责
apex	n. 顶点；尖端
clemency	n. 仁慈；温和；宽厚
quaint	adj. 古雅的；奇怪的；离奇有趣的；做得很精巧的
baton	n. 指挥棒；接力棒；警棍；司令棒
termination	n. 结束，终止
speed	v. 超速，加速；加速，迅速前行；兴隆 n. 速度，速率；迅速，快速；昌盛，繁荣
presentient	adj. 有预感的
instill	v. 徐徐滴入；逐渐灌输
indicant	adj. 指示的；表示的 n. 指示物
approximation	n. [数] 近似法；接近；[数] 近似值
privilege	n. 特权；优待 v. 给与…特权；特免
inculpable	adj. 无辜的；无可非议的
accompany	v. 陪伴，伴随；伴奏
repulsion	n. 排斥；反驳；反感；厌恶
amend	v. 修改；改善，改进 n. (Amend)人名；(德、英)阿门德
asperity	n. （表面的）粗糙；（气候等的）严酷；艰苦的条件；（性格）粗暴
recondite	adj. 深奥的；隐藏的；默默无闻的
abusive	adj. 辱骂的；滥用的；虐待的
temperate	adj. 温和的；适度的；有节制的
inscrutable	adj. 神秘的；不可理解的；不能预测的；不可思议的
probity	n. 廉洁；正直
herbivorous	adj. [动] 食草的
onset	n. 开始，着手；发作；攻击，进攻
ignition	n. 点火，点燃；着火，燃烧；点火开关，点火装置
sustainable	adj. 可以忍受的；足可支撑的；养得起的；可持续的
ultimate	adj. 最终的；极限的；根本的 n. 终极；根本；基本原则
ardent	adj. 热情的；热心的；激烈的；燃烧般的 n. (Ardent)人名；(法)阿尔当
camouflage	n. 伪装，掩饰 v. 伪装，掩饰
inclusive	adj. 包括的，包含的
adherence	n. 坚持；依附；忠诚
argumentation	n. 论证；争论；辩论
rouse	v. 唤醒；激起，使振奋；惊起 n. 觉醒；奋起
realm	n. 领域，范围；王国
verbose	adj. 冗长的；啰嗦的
feast	v. 享受；款待，宴请 n. 筵席，宴会；节日
palatial	adj. 宫殿似的；宏伟的；壮丽的
congest	v. 使充血；充塞
hospitable	adj. 热情友好的；（环境）舒适的
regime	n. 政权，政体；社会制度；管理体制
perforate	v. 穿孔于，打孔穿透；在…上打齿孔
abominable	adj. 讨厌的；令人憎恶的；糟透的
vilify	v. 诽谤；中伤；轻视；贬低
commitment	n. 承诺，保证；委托；承担义务；献身
disillusion	v. 使醒悟；使不再抱幻想 n. 幻灭；醒悟
endorse	v. 背书；认可；签署；赞同；在背面签名
neophyte	n. 新信徒；新入教者；初学者
transgress	v. 违反；侵犯；犯罪
inertia	n. [力] 惯性；惰性，迟钝；不活动
rapacious	adj. 贪婪的；掠夺的
oppressive	adj. 压迫的；沉重的；压制性的；难以忍受的
approbation	n. 认可；赞许；批准
reputable	adj. 声誉好的；受尊敬的；卓越的
rampage	n. 暴怒；暴跳；乱闹 v. 狂暴；乱闹；发怒
generosity	n. 慷慨，大方；宽宏大量
accumulate	v. 累积；积聚
listless	adj. 倦怠的；无精打采的；百无聊赖的
exterminate	v. 消灭；根除
probate	v. [法] 遗嘱认证；处以缓刑；加以监护；在遗嘱认证法庭证明…精神失常 n. 遗嘱检验；经认证的遗嘱；遗嘱认证法院管辖范围内的一切事项 adj. [法] 遗嘱认证的
sediment	n. 沉积；沉淀物
emancipation	n. 解放；释放
necessity	n. 需要；必然性；必需品
strait	adj. 狭窄的；苦恼的 n. 海峡；困境
surround	v. 围绕；包围 n. 围绕物 adj. 环绕立体声的
utmost	n. 极限；最大可能 adj. 极度的；最远的
gluttonous	adj. 贪吃的，暴食的；饕餮的
parallelogram	n. 平行四边形
wrangle	n. 争论；吵嘴 v. 争论；争吵
gambol	v. 雀跃；耍闹 n. 雀跃；嬉戏
vegetarian	n. 素食者；食草动物 adj. 素食的
hypocritical	adj. 虚伪的；伪善的
outrageous	adj. 粗暴的；可恶的；令人吃惊的
crepuscular	adj. 黄昏的；朦胧的；拂晓的
vague	adj. 模糊的；含糊的；不明确的；暧昧的 n. (Vague)人名；(法)瓦格；(英)韦格
catastrophe	n. 大灾难；大祸；惨败
portent	n. 前兆；预示；迹象；异常之物
malignant	adj. [医] 恶性的；有害的；有恶意的 n. 保王党员；怀恶意的人
piecemeal	adv. 零碎地；逐个地 adj. 零碎的；逐渐的 n. 片；块 vt. 粉碎
product	n. 产品；结果；[数] 乘积；作品
idle	adj. 闲置的；懒惰的；停顿的 v. 无所事事；虚度；空转
plane	n. 飞机；平面；程度，水平 v. 刨；乘飞机旅行；翱翔 adj. 平的；平面的
hoard	v. 积聚钱财；贮藏货物 n. 贮藏物
auspicious	adj. 吉兆的，吉利的；幸运的
archive	n. 档案馆；档案文件 v. 把…存档
evanescent	adj. 容易消散的；逐渐消失的；会凋零的
reveal	v. 显示；透露；揭露；泄露 n. 揭露；暴露；门侧，窗侧
auburn	n. 赤褐色 adj. 赤褐色的，赭色的
mingle	v. 混合；交往 n. (Mingle)人名；(加纳、英)明格尔
technology	n. 技术；工艺；术语
insipid	adj. 清淡的；无趣的
palette	n. 调色板；颜料
seditious	adj. 煽动性的；扰乱治安的；参与煽动的
hypnotic	adj. 催眠的，催眠术的；易于催眠的 n. 安眠药；催眠状态的人
temper	n. 脾气；（钢等）回火；性情；倾向 v. 使回火；锻炼；调和；使缓和
versatile	adj. 多才多艺的；通用的，万能的；多面手的
pontiff	n. 主教，教皇；罗马教宗
instigate	v. 唆使；煽动；教唆；怂恿
eclectic	adj. 折衷的；选择的；折衷学派的 n. 折衷派的人；折衷主义者
underscore	v. 强调；划线于…下 n. 底线，[计] 下划线
enmity	n. 敌意；憎恨
pristine	adj. 原始的，古时的；纯朴的
trait	n. 特性，特点；品质；少许
salamander	n. 火蜥蜴；蝾螈目动物；耐火的人；烤箱
herbaceous	adj. 草本的；绿色的；叶状的
reiterate	v. 重申；反复地做
deplete	v. 耗尽，用尽；使衰竭，使空虚
stature	n. 身高，身材；（精神、道德等的）高度
abbreviate	v. 缩写，使省略；使简短
glance	n. 一瞥；一滑；闪光 v. 扫视，匆匆一看；反光；瞥闪，瞥见
expulsion	n. 驱逐；开除
loophole	n. 漏洞；枪眼；换气孔；射弹孔
understate	v. 少说，少报；保守地说；有意轻描淡写
remonstrate	v. 责备，告诫；抗议；表示异议
discrepant	adj. 有差异的；相差的；矛盾的
endure	v. 忍耐；容忍
hostility	n. 敌意；战争行动
amply	adv. 充足地；广大地 n. (Amply)人名；(俄)安普利
euphonious	adj. 悦耳的
levy	n. 征收；征兵，征税 v. 征收（税等）；征集（兵等）
fluctuation	n. 起伏，波动
precarious	adj. 危险的；不确定的
superstitious	adj. 迷信的；由迷信引起的
acrid	adj. 辛辣的；苦的；刻薄的
alteration	n. 修改，改变；变更
ado	n. 忙乱，纷扰，麻烦
catastrophic	adj. 灾难的；悲惨的；灾难性的，毁灭性的
ethics	n. 伦理学；伦理观；道德标准
theory	n. 理论；原理；学说；推测
insight	n. 洞察力；洞悉
dome	n. 圆屋顶 vi. 成圆顶状 vt. 加圆屋顶于…上
add	v. 加；增加；加起来；做加法 n. 加法，加法运算
gibe	v. 嘲笑；愚弄 n. 嘲讽话
microscope	n. 显微镜
isochronous	adj. [物] 等时的；等步的
interchangeable	adj. 可互换的；可交换的；可交替的
butane	n. [有化] 丁烷
nausea	n. 恶心，晕船；极端的憎恶
ample	adj. 丰富的；足够的；宽敞的 n. (Ample)人名；(西)安普尔
semblance	n. 外貌；假装；类似
radiate	v. 辐射；传播；流露；发射；广播 adj. 辐射状的，有射线的
frustrate	v. 挫败；阻挠；使感到灰心 adj. 挫败的；无益的
celebrate	v. 庆祝；举行；赞美；祝贺；宣告
statute	n. [法] 法规；法令；条例
transcribe	v. 转录；抄写
effectual	adj. 奏效的；会应验的；有法律效力的
deft	adj. 灵巧的；机敏的；敏捷熟练的
potent	adj. 有效的；强有力的，有权势的；有说服力的
buffoonery	n. 滑稽；打诨
resource	n. 资源，财力；办法；智谋
destructive	adj. 破坏的；毁灭性的；有害的，消极的
yip	n. 叫喊声 v. 犬吠；尖叫
circumspect	adj. 细心的，周到的；慎重的
insulate	v. 隔离，使孤立；使绝缘，使隔热
salvageable	adj. 可抢救的；可打捞的；可挽回的；能利用的
congenital	adj. 先天的，天生的；天赋的
nimble	adj. 敏捷的；聪明的；敏感的
painstaking	adj. 艰苦的；勤勉的；小心的 n. 辛苦；勤勉
intonation	n. 声调，语调；语音的抑扬
monition	n. 忠告；法庭传票；宗教法庭的诫谕
place	n. 地方；住所；座位 v. 放置；任命；寄予
castigate	v. 严惩；苛评；矫正；修订
composed	adj. 镇静的；沉着的 v. 组成；作曲（compose的过去分词）；著作
jocund	adj. 快活的；高兴的
untimely	adj. 不合时宜的；过早的 adv. 不合时宜地；过早地
respite	n. 缓解；暂缓；暂时的休息；缓期执行 v. 使缓解；使暂缓；使延期；缓期执行
tantalize	v. 逗弄；使干着急
homeostasis	n. [生理] 体内平衡；[自] 内稳态
acquaint	v. 使熟悉；使认识
tortuous	adj. 扭曲的，弯曲的；啰嗦的
hadron	n. [高能] 强子（参与强相互作用的基本粒子）
bristle	n. 猪鬃；刚毛 v. 发怒；竖起
abhorrent	adj. 可恶的；厌恶的；格格不入的
appease	v. 使平息；使满足；使和缓；对…让步
digression	n. 离题；脱轨
indulgent	adj. 放纵的；宽容的；任性的
ownership	n. 所有权；物主身份
descendent	adj. 派生的；降落的；世袭的 n. 后裔；派生物
disparage	v. 蔑视；毁谤
minuscule	n. 小写字；草写小字 adj. 极小的；用草写小字写的
fallible	adj. 易犯错误的；不可靠的
hypercritical	adj. 吹毛求疵的，苛评的
zealous	adj. 热心的，热情的，积极的 n. (Zealous)人名；(英)泽勒斯
prescription	n. 药方；指示；惯例 adj. 凭处方方可购买的
apprehensible	adj. 可理解的，可了解的
irritate	v. 刺激，使兴奋；激怒
havoc	n. 大破坏；浩劫；蹂躏 vt. 严重破坏 vi. 损毁
centipede	n. [无脊椎][中医] 蜈蚣
percipient	adj. 目光敏锐的；有洞察力的 n. 有感知力的人
shrivel	v. 枯萎；皱缩
consummate	adj. 至上的；完美的；圆满的 v. 完成；作成；使达到极点
transgression	n. [地质] 海侵；犯罪；违反；逸出
descry	v. 看见；发现；察看
demagoguery	n. 散布谣言；煽动行为；群众煽动
irrevocable	adj. 不可改变的；不能取消的；不能挽回的
noxious	adj. 有害的；有毒的；败坏道德的；讨厌的
denote	v. 表示，指示
induct	v. 引导；感应；使…就职；征召入伍
discourse	n. 论述；谈话；演讲 v. 演说；谈论；讲述
bipartisan	adj. 两党连立的；代表两党的
procrastinate	v. 耽搁，延迟
facilitate	v. 促进；帮助；使容易
transcend	v. 胜过，超越
vocal	adj. 歌唱的；声音的，有声的 n. 声乐作品；元音
epidermis	n. 上皮，表皮
induce	v. 诱导；引起；引诱；感应
pare	v. 消减；削皮；剪；修掉（边等） n. (Pare)人名；(英)佩尔；(法)帕尔
deleterious	adj. 有毒的，有害的
ambiguous	adj. 模糊不清的；引起歧义的
reasonable	adj. 合理的，公道的；通情达理的
field	n. 领域；牧场；旷野；战场；运动场 v. 担任场外队员 adj. 扫描场；田赛的；野生的
concoct	v. 捏造；混合而制；调合；图谋
slick	adj. 光滑的；华而不实的；聪明的；熟练的；老套的 n. [机] 平滑器；[机] 修光工具；通俗杂志 adv. 灵活地；聪明地 v. 使光滑；使漂亮
sensibility	n. 情感；敏感性；感觉；识别力
despicable	adj. 卑劣的；可鄙的
braggadocio	n. 自夸，吹牛；吹牛大王
string	n. 线，弦，细绳；一串，一行
plumb	v. 使垂直；探测，探索 n. 垂直；铅锤 adv. 恰恰，正；垂直地 adj. 垂直的
moribund	adj. 垂死的；停滞不前的 n. 垂死的人
incumbent	adj. 现任的；依靠的；负有职责的 n. 在职者；现任者；领圣俸者
cancer	n. 癌症；恶性肿瘤
lewd	adj. 淫荡的；猥亵的；下流的
ogle	v. 向…抛媚眼；注视 n. 眉目传情；媚眼
aye	n. 赞成票；投赞成票者 adv. 赞成
octagon	n. 八边形，八角形
round	n. 圆；循环；一回合；圆形物 adj. 圆的；完全的；大概的；肥胖的 adv. 在周围；迂回地；朝反方向；挨个 v. 完成；围捕；绕行；弄圆 prep. 附近；绕过；大约；在…周围
askance	adv. 怀疑地；斜视地
outright	adv. 全部地；立刻地；率直地；一直向前；痛快地 adj. 完全的，彻底的；直率的；总共的
dissonant	adj. 刺耳的；不谐和的；不调和的
inspection	n. 视察，检查
eligible	adj. 合格的，合适的；符合条件的；有资格当选的 n. 合格者；适任者；有资格者
finite	adj. 有限的；限定的 n. 有限之物
amount	v. 总计，合计；相当于；共计；产生…结果 n. 数量；总额，总数
urchin	n. 顽童，淘气鬼；海胆；刺猬
conservative	adj. 保守的 n. 保守派，守旧者
exasperate	v. 恶化；使恼怒；激怒
spasmodic	adj. 痉挛的，痉挛性的；间歇性的
antecedent	n. 前情；先行词；祖先 adj. 先行的；前驱的；先前的
submit	v. 使服从；主张；呈递
cajolery	n. 甜言蜜语；诱骗；谄媚
villainous	adj. 罪恶的；恶棍的；恶毒的；坏透的
impression	n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
fatuous	adj. 愚笨的；昏庸的；发呆的；自满的
putrid	adj. 腐败的；腐烂的；令人厌恶的
overt	adj. 明显的；公然的；蓄意的
input	n. 投入；输入电路 v. [自][电子] 输入；将…输入电脑
noisome	adj. 恶臭的；有害的
choral	adj. 合唱的；合唱队的 n. 赞美诗；唱诗班
dispensation	n. 分配；免除；豁免；天命
vindictive	adj. 怀恨的；有报仇心的；惩罚的
extricate	v. 使解脱；解救；使游离
adept	adj. 熟练的；擅长…的 n. 内行；能手
acknowledge	v. 承认；答谢；报偿；告知已收到
gamble	v. 赌博；孤注一掷；投机；打赌 n. 赌博；冒险；打赌
archaic	adj. 古代的；陈旧的；古体的；古色古香的
repeal	v. 废除；撤销；废止；放弃；否定 n. 废除；撤销
deprecate	v. 反对；抨击；轻视；声明不赞成
accost	v. 勾引；引诱；对…说话；搭讪
cantankerous	adj. 脾气坏的；爱吵架的；难相处的
expend	v. 花费；消耗；用光；耗尽
reprobate	v. 非难；拒绝；斥责 adj. 邪恶的；堕落的 n. 恶棍，无赖
didactic	adj. 说教的；教诲的
aversion	n. 厌恶；讨厌的人
shun	v. 避开，避免；回避 n. (Shun)人名；(日)春(姓)
melee	n. 混战，格斗；互殴
liberty	n. 自由；许可；冒失
multiform	adj. 多样的；多种形式的
sycophant	n. 谄媚者；奉承者 adj. 奉承的；拍马的
inadvertent	adj. 疏忽的；不注意的（副词inadvertently）；无意中做的
extravagance	n. 奢侈，浪费；过度；放肆的言行
atheism	n. 不信神，无神论
iridescent	adj. 彩虹色的；闪光的
apathetic	adj. 冷漠的；无动于衷的，缺乏兴趣的
diaphanous	adj. 透明的；精致的；模糊的
implement	v. 实施，执行；实现，使生效 n. 工具，器具；手段
