access	v. 获取 n. 接近，入口
abstract	adj. 抽象的 n. 摘要
endless	adj. 无止境的
fast	adj. 快的；偏快的 adv. 快
painful	adj. 使痛的；费力的
import	n. 输入，进口 v. 输入，进口
additional	adj. 附加的，追加的
die	v. 死，死亡；灭亡
abnormal	adj. 不正常的；变态的
peasant	n. 农民
hydrogen	n. 氢
heel	n. 脚后跟，踵；中文释义: 后跟
base	n. 基础，底层；基地
uncover	v. 揭开…的盖子
interior	adj. 内的；内地的内部 n. 内部
chain	n. 链，链条
slippery	adj. 滑的，使人滑跤的
historical	adj. 历史的，有关历史的
mechanically	adv. 机械地
myself	pron. 我自己；我亲自
signal	n. 信号 v. 发信号
thoughtful	adj. 体贴的；沉思的
discipline	n. 纪律；训练 v. 训练
draft	n. 草稿；汇票 v. 起草
performance	n. 演出；表现；履行
workshop	n. 车间，工场；创作室
listener	n. 听众之一；听者
paint	v. （给…）上油漆；画，绘画
generate	v. 发生；引起
resist	v. 抵制；抵抗
sensitive	adj. 敏感的；灵敏的
perform	v. 演出；履行，执行
fertilizer	n. 肥料
reinforce	v. 加强；增援，支援
recognize	v. 认识，认出；承认
okay	convention. 对，好
police	n. 警察；警察当局
forth	adv. 向前；向外，往外
reproduce	v. 繁殖，生殖
framework	n. 框架，构架，结构
gracious	adj. 有礼貌的；仁慈的
screw	n. 螺旋，螺丝 v. 拧紧
pause	n. 中止，暂停 v. 中止，暂停
cheese	n. 奶酪，干酪
sleeve	n. 袖子，袖套
donkey	n. 驴
vacant	adj. 空的；未被占用的
expense	n. 花费，消费；费用
lead	n. 铅，铅制品
friendship	n. 友谊；友好
bare	adj. 赤裸的；仅仅的
athlete	n. 运动员；田径运动员
regarding	prep. 关于
commonly	adv. 普通地，一般地
magic	n. 魔法，巫术；戏法
cook	v. 烹调，煮；烧菜
intend	v. 想要，打算；意指
powder	n. 粉末；药粉；火药
pitch	n. 沥青
ninth	num. 第九 n. 九分之一
filter	v. 过滤 n. 过滤器
deal	n. 买卖；待遇
collect	v. 收集；收款
conjunction	n. 接合，连接；连接词
bond	n. 债券，公债；联结，联系
jail	n. 监狱 v. 监禁
arrangement	n. 安排；整理，排列
competent	adj. 有能力的
section	n. 切片；一段；部分，部门
confusion	n. 混乱；骚乱；混淆
mercy	n. 仁慈，慈悲，恩惠
successive	adj. 连续的；接连的
pour	v. 灌，倒；倾泻
couple	n. 夫妇；（一）对；几个
mention	v. 提及，说起 n. 提及，说起
stake	n. 赌金；桩；奖品
decide	v. 决定，决心；解决
conscious	adj. 意识到的；有意的
companion	n. 同伴；共事者；伴侣
football	n. 足球
careful	adj. 仔细的；细致的
receive	v. 得到；收到；接待
nowhere	adv. 任何地方都不
settle	v. 安排；安放；调停
sign	n. 符号；招牌 v. 签名
hide	v. 把…藏起来；隐瞒
architecture	n. 建筑式样；建筑学
daylight	n. 白昼，日光；黎明
entitle	v. 给…权利（或资格）
legend	n. 传说，传奇
appropriate	adj. 适当的，恰当的
crust	n. 面包皮；硬外皮
existence	n. 存在，实在；生活
territory	n. 领土，版图；领域
outlet	n. 出口；出路；排遣
compare	v. 比较，对照；比作
emotional	adj. 感情的，情绪的
subtract	v. 减，减去，去掉
Italian	adj. 意大利的 n. 意大利人
density	n. 密集，稠密；密度；〔物质的〕密度
drunk	adj. 醉的；陶醉的
magazine	n. 杂志，期刊
patience	n. 忍耐，容忍，耐心
direction	n. 方向，方位；指导
job	n. 职业；工作；零活
practise	v. 练习，实习，训练
slope	n. 倾斜；斜面 v. 倾斜
ankle	n. 踝，踝节部
dead	adj. 死的，无生命的
sphere	n. 球，圆体；范围
me	pron. （宾格）我
develop	v. 发展；形成；开发
immense	adj. 巨大的；极好的
rabbit	n. 兔子
outset	n. 开始，开端
disguise	v. 隐瞒，掩埋 n. 假装
brisk	adj. 活泼的；清新的
keyboard	n. 键盘
onion	n. 洋葱，洋葱头
energy	n. 活力；精力；能；能量
shriek	v. 尖声喊叫 n. 尖叫声
elaborate	adj. 复杂的；精心制作的
horse	n. 马；马科动物
requirement	n. 需要；要求
grain	n. 谷物，谷粒；颗粒
moment	n. 时刻；片刻，瞬间
occurrence	n. 发生，出现；事件
deed	n. 行为；功绩；劣迹；契约
owl	n. 猫头鹰，枭
isolate	v. 使隔离，使孤立
collection	n. 收藏品；搜集，收集
container	n. 容器；集装箱
knife	n. 小刀，刀，餐刀
ignore	v. 不顾，不理，忽视
sufficient	adj. 足够的，充分的
proposal	n. 提议，建议；求婚
milk	n. 乳，牛奶 v. 挤（奶）
exercise	n. 锻炼；训练 v. 练习
shortly	adv. 立刻；简短地
retire	v. 退休；退职；就寝
communist	n. 共产党员
supplement	n. 增补物，补充物 v. 增补，补充
betray	v. 背叛；辜负；泄漏
meal	n. 膳食，一餐
August	n. 八月
during	prep. 在…期间
brief	adj. 短暂的；简短的
astonish	v. 使惊讶，使吃惊
security	n. 安全工作；安全；安全感
tremble	v. 发抖，哆嗦；摇动
inferior	adj. 下等的；劣等的
marble	n. 大理石
inventor	n. 发明者；发明家
metal	n. 金属，金属制品
efficiency	n. 效率；效能；功效
high	adj. 高的；高级的 adv. 高
born	adj. 天生的；出生的
destroy	v. 破坏；消灭；打破
heating	n. 加热，供暖
comprise	v. 包含，包括；构成
ease	n. 容易；舒适 v. 缓和
liberation	n. 解放
wholly	adv. 完全地，全部
split	v. 被劈开；劈开
basin	n. 洗脸盆；盆；盆地
weed	n. 杂草，野草 v. 除草
calm	adj. 静的，平静的
sweater	n. 厚运动衫，毛线衫
shear	v. 剪；剥夺
swallow	n. 燕子
greet	v. 问候，招呼；反应
practical	adj. 实践的；实用的
basically	adv. 基本上
conductor	n. 售票员；（乐队）指挥
naturally	adv. 自然地；天然地
undertake	v. 从事；承担；保证
despair	n. 绝望 v. 绝望
nose	n. 鼻子
morning	n. 早晨，上午
mild	adj. 温柔的；和缓的
interrupt	v. 打断，打扰；中止
period	n. 时期；学时；句号
loaf	n. 一条面包，一个面包
resistance	n. 抵抗；抵制；抵抗力
enforce	v. 实施，执行；强制
definitely	adv. 一定地，明确地
flow	v. 流动；飘垂；涨潮
grow	v. 增长；生长
federal	adj. 联邦的；联盟的
agent	n. 代理人，代理商
lively	adj. 活泼的
utility	n. 效用，有用，实用
establish	v. 建立，设立；确立
distinct	adj. 与其它不同的
interval	n. 间隔；休息；间距
motor	n. 发动机；机动车
brute	n. 禽兽，畜生
account	n. 记述；解释；账目
gramme	n. 克（重量单位）
absence	n. 缺席，不在场；缺乏
operation	n. 手术；操作；运算
crash	v. 碰撞，坠落 n. 碰撞
beef	n. 牛肉；菜牛
heap	n. （一）堆；大量
deposit	v. 使沉淀；存放
displease	v. 使不愉快，使生气
appoint	v. 任命，委任；约定
bound	adj. 一定的；有义务的
merely	adv. 仅仅，只不过
besides	adv,prep. 而且；除…之外
park	n. 公园；停车场
nineteen	num. 十九，十九个
depress	v. 使沮丧；按下
cry	v. 哭，哭泣；叫喊
into	prep. 进，入；进入到
maths	n. （英）数学
significance	n. 意义，意味；重要性
bag	n. 袋，包，钱包，背包
crack	n. 裂缝，裂纹 v. 爆裂
certainty	n. 必然；肯定
lazy	adj. 懒惰的，懒散的
effect	n. 结果；效果，效力
hurt	v. 使受伤；使痛心
block	n. 街区 v. 堵塞，拦阻
hillside	n. （小山）山腰，山坡
specialist	n. 专家
worm	n. 虫，蠕虫
dictionary	n. 词典，字典
cabbage	n. 洋白菜，卷心菜
date	n. 日期 v. 注…日期
warmth	n. 暖和，温暖；热烈
latter	adj. （两者中）后者的
indoors	adv. 在室内，在屋里
helicopter	n. 直升机
leg	n. 腿，腿部
quality	n. 质量；品质；特性
command	v. 命令；指挥；控制
preference	n. 偏爱；优先；优先权
actually	adv. 实际上；竟然
secondary	adj. 第二的；次要的
academy	n. 专科院校；私立中学
report	v. 报告；汇报
magnet	n. 磁铁，磁石，磁体
none	pron. 没有人；没有一点 adv. 毫不
large	adj. 大的；巨大的
corporation	n. 公司，企业；社团
thorough	adj. 彻底的；详尽的
chin	n. 颏，下巴
nearby	adj. 附近的 adv. 在附近
react	v. 作出反应；有影响
map	n. 地图；图；天体图
vinegar	n. 醋
article	n. 文章；物品；条款
angle	n. 角，角度
zone	n. 地区，区域，范围
rail	n. 横条，横杆；铁轨
holy	adj. 神圣的；圣洁的
copy	n. 抄件 v. 抄写，复制
elephant	n. 象
hasten	v. 催促；赶紧
helpless	adj. 无助的；无能的
mutter	v. 轻声低语；抱怨
musical	adj. 音乐的
silk	n. 蚕丝，丝，丝织品
agency	n. 经办；代理；代理处
conflict	n. 争论；冲突；斗争
anything	pron. 任何事物；一切
outskirt	n. 外边，郊区
peculiar	adj. 特有的；特别的
index	n. 索引；指数；指标
anxious	adj. 忧虑的；渴望的
likely	adj. 可能的 adv. 很可能
mat	n. 席子；草席；垫子
cushion	n. 垫子，坐垫，靠垫
flock	n. 羊群，群；大量
mislead	v. 将…引入歧途，误导
vague	adj. 模糊的；含糊的
generator	n. 发电机；发生者
concrete	n. 混凝土；具体物
scatter	v. 撒；散播；使消散
brake	n. 闸，刹车 v. 制动
brain	n. 脑，脑髓；脑力
commander	n. 司令官，指挥员
arrest	v. 逮捕，拘留；阻止
limb	n. 肢，臂，翼；树枝
highway	n. 公路；大路
quite	adv. 完全；相当；的确
disposal	n. 丢掉，处理，销毁
analyse	v. 分析，分解，解析
flight	n. 航班；飞行；逃跑
consistent	adj. 坚持的，一贯的
repetition	n. 重复，反复
inform	v. 通知，向…报告
flat	adj. 平的，扁平的
idea	n. 想法；思想；意见
blue	adj. 蓝色的 n. 蓝色
married	adj. 已婚的；婚姻的
kitchen	n. 厨房，灶间
bridge	n. 桥，桥梁；桥牌
spare	v. 抽出；拨出；留出；匀出 adj. 多余的
deepen	v. 加深；深化
anyone	pron. 任何人
envelope	n. 信封；封套；封皮
glare	v. 瞪眼 n. 瞪眼
fault	n. 缺点；过失；故障
calculation	n. 计算，计算结果
driver	n. 驾驶员，司机
airport	n. 机场，航空站
intermediate	adj. 中级的；中间的
location	n. 位置，场所
unlike	adj. 不同的 prep. 不象…
detect	v. 察觉，发觉；侦察
fresh	adj. 新的；新鲜的
chance	n. 机会，机遇；可能性
cement	n. 水泥；胶泥 v. 粘结
release	v. 释放；放松；发表
extra	adj. 额外的 adv. 特别地
drill	n. 钻头；操练 v. 钻孔
accessary	n. 同谋，从犯
dwelling	n. 住处，寓所
hardly	adv. 几乎不，简直不
dance	v. 跳舞；摇晃 n. 舞
atomic	adj. 原子的；原子能的
omit	v. 省略，省去；遗漏
neck	n. 颈，脖子
lady	n. 女士，夫人；贵妇人
announcer	n. 播音员
engineering	n. 工程；工程学
formula	n. 公式，式
law	n. 法律；法令；法则
lieutenant	n. 陆军中尉；副职官员
dependent	adj. 依靠的，依赖的
utmost	adj. 最大的 n. 极限
begin	v. 开始
cooperate	v. 合作，协作；配合
rush	v. 冲，奔；催促
grieve	v. 悲痛；使悲痛
gymnasium	n. 体育馆，健身房
brim	n. 边，边缘；帽沿
variety	n. 多样化；种类；变种
construct	v. 建造；建设；构筑
ant	n. 蚂蚁
lovely	adj. 可爱的；令人愉快的
principle	n. 原则，原理
shelter	n. 隐蔽处；掩蔽，庇护
uniform	adj. 一样的 n. 制服
promise	n. 诺言 v. 允诺
handkerchief	n. 手帕
international	adj. 国际的，世界（性）的
shade	n. 荫；遮光物 v. 荫蔽
country	n. 国家，国土；农村
punctual	adj. 严守时刻的；准时的
bend	v. 使弯曲；弯曲
diligent	adj. 勤勉的，勤奋的
learned	adj. 有学问的；学术上的
prescribe	v. 开处（方）；命令
gum	n. 口香糖；树胶
lock	n. 锁 v. 锁上，锁住
relativity	n. 相对性；相对论
moon	n. 月球，月亮；卫星
internal	adj. 国内的；内的
tale	n. 故事；传说
accent	n. 口音，腔调；重音
say	v. 比如说[用于举例]
brandy	n. 白兰地酒
meaning	n. 意义，意思；意图
peaceful	adj. 安静的；和平的
bomb	n. 炸弹 v. 轰炸
fry	v. 油煎，油炸，油炒
lessen	v. 减少，减轻；缩小
finance	n. 财政，金融；财源
maintenance	n. 维修；维持，保持
squeeze	v. 压；挤；捏；榨；压榨
hill	n. 小山，山岗；丘陵
tense	n. 时态，时
fare	n. 车费，船费，票价
tend	v. 照管，照料，护理
passion	n. 强烈的情感，激情；强烈的爱好，热爱
brand	n. 品牌；烙印 v. 铭刻
temptation	n. 诱惑，引诱
correction	n. 改正，纠正，修改
cease	v. 停止，停息 n. 停止，停息
shed	v. 流出；散发；脱落
America	n. 美洲；美国
directly	adv. 直接地；立即
camera	n. 照相机，摄影机
analysis	n. 分析，分解，解析
intentional	adj. 故意的，有意识的
jazz	n. 爵士音乐，爵士舞曲
unity	n. 单一；统一；团结
trial	n. 审判；试，试验
beggar	n. 乞丐，穷人
amongst	prep. 在…之中（among）
colony	n. 殖民地；侨居地
north	n. 北，北方 adj. 北方的
synthetic	adj. 综合的；合成的
strain	v. 拉紧；尽力
funny	adj. 滑稽的；古怪的
camp	n. 野营，营地，兵营
circuit	n. 环行；电路
arrange	v. 筹备；整理
button	n. 扣子；按钮 v. 扣紧
classical	adj. 古典的；经典的
consequently	adv. 因此，因而，所以
reservoir	n. 水库；蓄水池
vision	n. 视力；想象力；梦幻
Friday	n. 星期五
headline	n. 大字标题；新闻提要
product	n. 产品；产物；（乘）积
flexible	adj. 易弯曲的；灵活的
ridge	n. 岭，山脉；脊；垄
objection	n. 反对，异议；不喜欢
bucket	n. 水桶；吊桶；铲斗
need	v. 需要
exceed	v. 超过，胜过；超出
official	adj. 官员的；官方的
obvious	adj. 明显的，显而易见的
leave	v. 离去
wrist	n. 腕，腕关节
hence	adv. 因此，所以；今后；今后
journalist	n. 记者，新闻工作者
profit	n. 利润；益处 v. 得益
compel	v. 强迫，迫使屈服
marine	adj. 海的；海上的
cable	n. 缆，索；电缆；电报
key	n. 钥匙；键；答案
rear	n. 后部，后面；背面
birth	n. 分娩，出生；出身
much	adv. 非常，很 det. 许多的
pardon	n. 原谅；赦免 v. 原谅
phrase	n. 短语；习惯用语
pan	n. 平底锅；烤盘
jewel	n. 宝石；宝石饰物
similar	adj. 相似的，类似的
sword	n. 剑，刀
wander	v. 漫游；迷路；离题
frighten	v. 使惊恐，吓唬
citizen	n. 公民；市民，居民
I	pron. （主格）我
weakness	n. 弱点；虚弱；软弱
exchange	v. 交换；交流 n. 交换
witness	n. 证据；证人 v. 目击
Japan	n. 日本，日本国
picture	n. 画，图片 v. 画
cabin	n. 小屋；船舱；机舱
minute	n. 分，分钟；一会儿
achieve	v. 完成，实现；达到
characteristic	adj. 特有的 n. 特性
semiconductor	n. 半导体
minus	adj. 负面的；使显得有缺陷的 prep. 减（去）
silly	adj. 傻的，愚蠢的
hungry	adj. 饥饿的；渴望的
odd	adj. 奇数的；单只的
traffic	n. 交通，通行；交通量
unconscious	adj. 不省人事的
reading	n. 读书；读，阅读
carbon	n. 碳
senate	n. 参议院，上院
physician	n. 医生，内科医生
proportional	adj. 比例的；相称的
pace	n. 步，步速 v. 踱步
harness	v. 控制[利用]〔自然力等〕 n. 马具，挽具
suspect	v. 怀疑；疑心
license	n. 许可；执照 v. 准许
little	adj. 小的；少；幼小的
accelerate	v. （使）加快；促进
steep	adj. 险峻的，陡峭的
Africa	n. 非洲
organism	n. 生物体；有机体
county	n. 英国的郡，美国的县
globe	n. 地球，世界；地球仪
food	n. 食物，食品；养料，精神食粮
machine	n. 机器；机械
bore	v. 使厌烦；钻，挖
measure	v. 量，测量 n. 掂出某人的分量
reform	v. 改革，改良 n. 改革，改良
radius	n. 半径
fist	n. 拳（头）
nuisance	n. 讨厌的人（东西）
distinction	n. 差别，不同，区分
mosquito	n. 蚊子
typewriter	n. 打字机
accordance	n. 按照某事物
plus	prep. 加，加上 adj. 正的
policeman	n. 警察
Christmas	n. 圣诞节
interest	n. 兴趣；利益；利息
greenhouse	n. 温室，玻璃暖房
farewell	int. 再会 n. 告别
him	pron. （宾格）他
shelf	n. 搁板，架子
later	adv. 后来；过一会儿
fashion	n. 风尚；方式
daily	adj. 每日的 n. 日报
outside	n. 外部；外表 adj. 外部的
principal	adj. 主要的 n. 负责人
mine	pron. 我的
farmer	n. 农民，农夫；农场主
alter	v. 改变，变更；改做
Asia	n. 亚洲
twist	v. 捻；拧 n. 扭弯
playground	n. 操场，运动场
guidance	n. 引导，指导，领导
evaporate	v. 使蒸发
upright	adj. 垂直的；正直的
honour	n. 光荣；尊敬，敬意
rescue	v. 营救，解救，救援 n. 营救，解救，救援
evolution	n. 进化，演化；发展
stocking	n. 长（筒）袜
instrument	n. 工具；仪器；乐器
nice	adj. 美好的，令人愉快的
faculty	n. 系，科；才能，能力
auto	n. （口语）汽车
phone	n. 电话，电话机
preserve	v. 保护；保存；腌渍
