textbook	'tɛkstbʊk	'teks(t)bʊk	n::教科书；课本::a book that contains information about a subject that people study, especially at school or college		a biology textbook::一本生物教科书	n::教科书，课本::coursebook, schoolbook						
brand	brænd	brænd	n::品牌；牌子::a type of product made by a particular company, that has a particular name or design	famous brand::名牌，名牌货¦brand new::全新的；崭新的¦brand image::品牌形象¦brand name::商标名称¦own brand::自有品牌；使用自己商标的商品¦international brand::国际品牌¦brand awareness::品牌意识，商标意识；品牌知名度¦name brand::名牌¦new brand::新品牌；新牌子¦national brand::全国性品牌；国家名牌；全国性商标¦brand effect::品牌效应¦brand extension::品牌延伸¦brand equity::品牌价值；商标资产¦brand loyalty::品牌忠诚度¦brand identity::品牌识别；品牌标识；品牌同一性¦brand recognition::品牌认知；品牌识别¦brand name products::品牌产品¦private brand::私人品牌¦brand new day::崭新的一天（电影名称）¦local brand::区域性品牌	products which lack a strong brand image::缺乏鲜明品牌形象的产品	vt::铭刻于，铭记；打烙印于；印…商标于::heart, stamp¦n::[贸易]商标，[经管]牌子；烙印::logo, label	adj::branded::名牌商标的；打有烙印的；有斑纹的（等于brindled）¦n::branding::品牌化，品牌术¦v::branding::在…上加商标；使显得独一无二（brand的现在分词）¦v::branded::铭刻（brand的过去式和过去分词）					
avoid	ə'vɔɪd	ə'vɒɪd	v::避免；回避::to prevent something bad from happening	avoid doing::避免做某事；逃避…	Road safety is taught to young children to avoid road accidents.::小孩子受到道路安全知识的教育，以避免交通事故。¦It is important to take measures to avoid the risk of fire.::采取措施避免火灾风险很重要。¦Alan narrowly avoided an accident.::艾伦险出事故。¦She carefully avoided his eyes (= did not look directly at his face ) . ＃::她小心地避开他的目光。	vt::避免；避开，躲避；消除::eliminate, escape, shun	adj::avoidable::可避免的；可作为无效的；可回避的¦n::avoidance::逃避；废止；职位空缺		a(使…) ＋ void(空旷， 空虚) → 使空旷 → 撤销			
product	'prɑdʌkt	'prɒdʌkt	n::产品；制品::something that is grown or made in a factory in large quantities, usually in order to be sold	product quality::产品质量¦product development::产品开发；产品发展¦product design::产品设计¦product line::生产线；产品线；产品系列¦finished product::制成品¦quality product::优质产品¦domestic product::国内产品；本地生产¦product information::产品信息¦aquatic product::水产品¦gross domestic product (GDP)::国内生产总值¦gross domestic product (gdp)::国内生产总值¦gross domestic product::国内生产总值¦quality of product::产品质量¦product performance::产品性能¦electronic product::电子产品；电子设备制造业¦product range::产品范围；产品系列；产品类别¦final product::最终产品；最后产物¦product cost::产品成本¦national product::国民产值；社会产品¦product mix::产品结构；产品搭配组合	The London factory assembles the finished product .::伦敦工厂组装成品。¦He works in marketing and product development.::他从事营销和产品开发。	n::[经]产品；结果；[数]乘积；作品::outcome, event, result, manufacture, writing	adj::productive::能生产的；生产的，生产性的；多产的；富有成效的¦adv::productively::有结果地；有成果地¦n::production::成果；产品；生产；作品¦n::productivity::生产力；生产率；生产能力¦n::productiveness::赢利性；生产率，生产能力；多产性		pro(很多) ＋ duct(引导， 带来) → 带来很多东西 → 产物			
handbag	'hænd'bæg	'hæn(d)bæg	n::小手提包::a small bag in which a woman carries money and personal things	is this your handbag::这是你的手提包吗¦leather handbag::皮手提包，皮手袋	A man twitched the handbag from her hand.::一个人从她手中抢走了手提包。¦The policeman turned the contents of her handbag out onto the table.::警察把她手提包里的东西全倒在了桌上。¦I always have one in my handbag and it has never failed me.::我经常在我的手提包里放上一个，并且它从来都没有让我失望。	n::手提包::gripesack			hand ＋ bag → (女用) 手提包			
mobile	ˈməʊbl;mobil	ˈməʊbaɪl	adj::可移动的；非固定的::not fixed in one position, and easy to move and use in different places	mobile phone::手机；行动电话¦mobile communication::移动式通信¦china mobile::中国移动通讯（世界500强之一）¦mobile robot::移动式遥控装置¦mobile telephone::n. 手机；移动电话；大哥大¦mobile phase::（色谱分析的）流动相¦mobile device::移动设备，移动装置；行动装置¦mobile service::移动业务；手机服务¦mobile platform::动平台；可自行移动的近海钻井平台；移动式平台；流动平台¦mobile station::[电信]移动电台¦mobile number::手机号码¦mobile equipment::移动设备，移动式设备¦mobile crane::移动吊车，移动式起重机¦mobile radio::移动式无线电通信；移动无线电通信；移动式无线电台¦mobile library::流动图书馆；图书馆车；宣传车¦mobile home::n. （拖车型）活动房屋；拖车住房¦mobile computer::笔记型电脑，移动计算机¦mobile carrier::动态载体；可动载流¦upwardly mobile::adj. （社会、经济地位）向上升的，有上升趋势的¦mobile unit::车载设备	mobile air-conditioners::移动式空调器	adj::[生物]机动的；易变的，；非固定的::variable, liquid, motor, unstable	n::mobility::移动性；机动性；[电子] 迁移率¦n::mobilization::动员；调动¦vi::mobilize::组织；动员起来¦vi::mobilise::动员起来（等于mobilize）¦vt::mobilize::动员，调动；集合，组织；使…流通；使…松动¦vt::mobilise::动员；调动；使流通		mob(动) ＋ ile(易…的) → 易动的 → 运动的， 多变的； 参考： mobile phone 手机			
Germany	'dʒɝməni	'dʒɜːmənɪ	::德国::	west germany::西德（原德意志联邦共和国的简称）¦made in germany::德国制造（商品标记）¦east germany::东德¦federal republic of germany::德意志联邦共和国	Germany borders on France.::德国与法国接壤。¦The news aroused much fear in Germany.::这消息在德国引起很大恐慌。¦The new Nazism is resurging in some places in Germany.::新纳粹主义正在德国的一些地方复活。							
surface	'sɝfɪs	'sɜːfɪs	n::表面；表层::the top layer of an area of water or land	on the surface::在表面上，外表上¦surface treatment::表面处理¦surface area::表面面积；曲面面积¦surface quality::表面质量；表面符号；外观要求¦surface water::[地]地表水¦surface roughness::表面粗糙度；表面光洁度¦surface modification::表面改质；表面饰变¦surface tension::表面张力¦surface temperature::表面温度；地表温度；表层水温¦surface layer::表层¦specific surface::比表面；比表面积；表面系数¦road surface::路面¦curved surface::弯曲表面¦specific surface area::比表面积¦smooth surface::光滑表面；光滑面；平滑面¦ground surface::地面；磨光面；地表面¦earth's surface::地球表面¦inner surface::内表面¦water surface::水面；水表面；油水介面¦surface structure::表面结构，表层结构	Nearly 10% of the Earth’s surface is covered by ice.::地球表面将近 10% 被冰层覆盖。¦Gas bubbles in any liquid tend to rise to the surface .::在任何液体中气泡往往都会浮到表面。	n::表面；表层；外观::face, outside, garment¦adj::表面的，肤浅的::external, facial, shallow, superficial¦vi::浮出水面::Head Above Water¦vt::使浮出水面；使成平面::tabulate	adj::surfactant::表面活性剂的¦n::surfactant::表面活性剂¦n::surfacing::表面堆焊；铺以面；铺面材料¦v::surfacing::使成平面（surface的ing形式）		sur(上)+fac(面)+e→表面			
postman	'postmən	'pəʊs(t)mən	n::邮递员::someone whose job is to collect and deliver letters		That postman is in charge of this route.::那个邮递员负责这条投递线路。	n::邮递员；邮差::letter carrier, mailman	n::posting::记录；[会计] 过帐；委派¦v::posting::公布；邮递；布置（post的ing形式）		post(邮递)+man(人)→做邮递工作的人→邮递员			
cap	kæp	kæp	n::（尤指有帽舌的）帽子::a type of flat hat that has a curved part sticking out at the front, and is often worn as part of a uniform	cap rock::[地质]冠岩；盖岩¦bottle cap::瓶盖¦pile cap::桩帽¦cap in hand::毕恭毕敬地；谦恭地¦baseball cap::棒球帽¦to cap it all::更加；更有甚者¦gas cap::气顶；气冠；油箱门¦ice cap::[地]冰盖；冰冠¦salary cap::工资上限¦end cap::管端盖板；后盖¦toe cap::鞋头¦screw cap::螺帽¦put a cap on::限制；控制；制止¦root cap::根冠¦valve cap::阀盖¦shower cap::n. 淋浴时用的塑胶浴帽¦spherical cap::球冠¦swimming cap::泳帽¦bubble cap::泡罩；泡帽¦cap screw::有头螺钉	...a dark blue baseball cap.::…一顶深蓝色的棒球帽。	n::[机]盖；帽子::hat, operculum¦vi::脱帽致意::uncap¦vt::覆盖；胜过；给…戴帽；加盖于::invest, overcome, house, sheet, roof	adj::capped::包过的；加盖的；去蒂的¦adj::capless::无帽的；免盖的；无电容的¦adj::cappy::如帽般的¦n::capper::封口机；帽商；制造器具的盖子的人；诱饵；装盖的人；托儿¦v::capped::给…戴帽；去蒂；覆以…；除去盖子；胜过（cap的过去分词形式）		盖上车(car)盖(cap)			
glove	ɡlʌv	glʌv	n::（分手指的）手套::a piece of clothing that you wear on your hand in order to protect it or keep it warm	velvet glove::外柔内刚；表面温和的东西¦hand in glove::合作；勾结着；亲密地¦glove box::手套箱；手套式操作箱（真空设备用）¦fit like a glove::完全相合；恰好¦data glove::数据手套¦take up the glove::(向…)应战；接受(…的)挑战[亦作 gantlet]¦take off the gloves::不饶恕¦baseball glove::棒球手套¦glove leather::手套皮¦leather glove::皮手套¦boxing glove::拳击手套¦glove compartment::n. （汽车仪表板上的）贮物箱¦put on the gloves::[口语]从事拳击¦with the gloves off::认真地;毫不留情地[亦作 without gloves]	a pair of gloves::一副手套¦boxing gloves::拳击手套	n::手套::mittens	adj::gloved::带有手套的¦v::gloved::给…戴手套；给…当手套用（glove的过去分词）		g(音似： 歌)+love(爱情)→冬日里送手套是对爱情的歌颂→手套			
international	,ɪntɚ'næʃnəl	ɪntə'næʃ(ə)n(ə)l	adj::国际的::relating to or involving more than one nation	international trade::国际贸易¦international market::国际市场¦international airport::国际机场¦international business::国际商业；国际企业¦international standard::国际标准¦international community::国际社会；国际共同体¦international cooperation::国际合作¦international law::国际法；国际公法¦international society::国际社会¦international conference::国际会议¦international level::国际层面，国际水准¦international finance::国际金融¦international investment::国际投资¦international brand::国际品牌¦international monetary fund::国际货币基金组织¦international organization::国际组织与机构¦international situation::国际形势¦international convention::国际惯例；国际公约；国际协定¦international practice::国际惯例；国际实践¦international exchange::国际汇兑；国际电话局	the response of the international community::国际社会的反响¦the UN and other international organizations::联合国和其他国际组织	adj::国际的；世界的::mundane	adv::internationally::国际性地；在国际间¦n::internationalization::国际化¦n::internationale::国际歌；共产国际歌¦n::internationalist::国际主义者；国际法学家¦n::internationality::国际性¦vt::internationalise::使国际化¦vt::internationalize::使国际化；置于国际管理下		inter(在…之间)+nation(国家)+al(形容词后缀)→国家之间的→国际的			
