adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着::a boat that is adrift is not fastened to anything or controlled by anyone		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。	adj::漂泊的；漂浮着的::vagrom, anchorless						
abstract	'æbstrækt	'æbstrækt	adj::抽象的::based on general ideas or principles rather than specific examples or real events	in the abstract::抽象地；理论上；概括地¦abstract art::n. 抽象派；抽象主义¦abstract class::[计]抽象类（不允许实例化的类）¦abstract thinking::抽象思维；抽象思考能力¦abstract painting::抽象画；抽象绘画¦abstract noun::抽象名词¦abstract factory::抽象工厂¦abstract data type::[计]抽象数据类型¦abstract expressionism::n. 抽象表现主义¦abstract idea::抽象观念¦abstract algebra::抽象代数¦abstract away from::对…不予考虑	By the age of seven, children are capable of thinking in abstract terms .::儿童到了七岁就具有抽象思维的能力。¦Human beings are the only creatures capable of abstract thought (=  thinking about ideas  ) .::人类是唯一具有抽象思维能力的动物。	n::[图情]摘要；抽象；抽象的概念::brief, summary, resume¦adj::抽象的；深奥的::deep, nonobjective¦vt::[图情]摘要；提取；使……抽象化::extract, brief	adj::abstracted:: 心不在焉的；出神的；分离出来的；抽出的¦adj::abstractionist:: 抽象派艺术的¦adj::abstractive:: 摘要式的；具有抽象能力的¦adv::abstractly:: 抽象地；理论上地¦adv::abstractedly:: 茫然地；抽象地；心不在焉地¦n::abstraction:: 抽象；提取；抽象概念；空想；心不在焉¦n::abstractionism:: 抽象派艺术；抽象主义理论¦n::abstractionist:: 抽象派艺术家；理想主义者¦n::abstractor:: 萃取器；[图情] 摘录者					
accompany	ə'kʌmpəni	əˈkʌmpəni	v::陪伴，陪同::to go somewhere with someone	accompany with::伴随着，兼带着；陪…同行¦accompany by::随行，伴奏；在…的陪同下	Children under 14 must be accompanied by an adult.::14岁以下儿童必须有成人陪同。¦Wherever her husband went, she would accompany him.::不论丈夫去哪里，她都陪伴左右。	vt::陪伴，伴随；伴奏::attend, keep company	adj::accompanied:: 伴随的；相伴的¦adj::accompanying:: 陪伴的；附随的¦n::accompaniment:: 伴奏；伴随物¦n::accompanist:: 伴奏者；伴随者¦n::accompanyist:: 伴奏者；随伴者¦v::accompanied:: 陪伴，伴随；伴奏（accompany的过去分词）¦v::accompanying:: 伴随（accompany的ing形式）					
appeal	ə'pil	ə’pi:l	v::吸引；呼吁::to make a serious public request for help, money, information etc	appeal for::vt. 恳求，请求；要求¦sex appeal::性感；吸引力¦appeal against::提出上诉¦court of appeal::上诉法院¦have appeal::引人入胜，有吸引力，有魅力¦emotional appeal::情绪感染；感性诉求¦appeal court::上诉法院¦lasting appeal::持久的吸引力；耐玩度¦right of appeal::上诉权；索赔权¦make an appeal::引起兴趣¦notice of appeal::上诉通知书¦appeal board::上诉委员会	The idea of working abroad really appeals to me.::去国外工作的这个想法对我很有吸引力。	vi::呼吁，恳求；[法]上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判::attract, clamour for¦n::呼吁，请求；吸引力，感染力；[法]上诉；诉诸裁判::asking, request, motion, charm	adj::appealing:: 吸引人的；动人的；引起兴趣的；恳求似的¦adj::appealable:: 可上诉的¦adv::appealingly:: 上诉地；哀求地；吸引人地¦n::appealingness:: 有感染力；吸引人；哀诉；恳求¦v::appealing:: 恳求（appeal的ing形式）；将…上诉					
appearance	ə'pɪrəns	əˈpɪərəns	n::外貌，外表::the way someone or something looks to other people	in appearance::adv. 在外表上¦outward appearance::外观；外表¦elegant appearance::美观大方¦appearance quality::外观质量¦external appearance::外观；外形¦physical appearance::外貌，外表；物理性质；体态¦attractive appearance::造型美观¦aesthetic appearance::式样美观¦personal appearance::个人形象，仪表¦surface appearance::表观；表面状况¦fracture appearance::断口外观¦general appearance::一般外貌；一般性出庭¦appearance of weld::焊缝成形¦make an appearance::出席；到达¦exterior appearance::外观¦final appearance::最终外观¦make one's appearance::登台；出现¦cameo appearance::[俚]友情客串（名演员饰演小角色）¦architectural appearance::建筑外形¦put in an appearance::露面；到场一会儿	He was always criticising his wife’s appearance.::他老是批评妻子的外表。¦We are often attracted to somebody first by their physical appearance .::我们经常先被一个人的外貌吸引。¦Women, in general, tend to be more concerned than men about their personal appearance .::总的来说，女性比男性更注重自己的仪容。¦She had an outward appearance of calm, but deep down she was really worried.::她表面上很镇静，内心却十分担忧。¦The metal posts spoiled the appearance of the garden.::金属柱子破坏了花园的外观。¦A garnish helps to enhance the appearance of any dish.::装饰菜能为任何菜肴增色。¦She’s the kind of woman who takes pride in her appearance .::她是那种对自己的外貌感到自豪的女人。¦You shouldn’t judge by appearances .::你不该以貌取人。¦They work hard at school without giving the appearance of being particularly hard-working.::他们在学校里学习很用功，只是表面上并不显得特别如此。¦The case had all the appearances of a straightforward murder.::从所有迹象来看，这个案件都像一宗简单的谋杀。¦The pupils looked angelic – but appearances can be deceptive .::这些学生看上去如天使一般，但外表可能是会骗人的。¦He was, to all appearances , a respectable, successful businessman.::从各方面看，他都是个体面而成功的商人。	n::外貌，外观；出现，露面::occurrence, aspect, emergence, external, outside	vi::appear:: 出现；显得；似乎；出庭					
assembly	ə'sɛmbli	ə'sembli	n::组装::the process of putting the parts of something together	assembly line::装配线；流水作业线¦general assembly::联合国大会¦assembly language::n. 汇编语言¦assembly process::装配过程；汇编过程¦national assembly::国民大会¦assembly room::会议室；礼堂；装配室¦assembly plant::装配厂，装配工场¦final assembly::总装¦assembly technology::装配工艺¦assembly system::装配系统；汇编系统¦assembly drawing::装配图；总图¦assembly hall::会馆；礼堂¦assembly machine::装配机¦valve assembly::n. 气门总成；活门组件，（气缸的）气门组件¦hose assembly::软组件；软管接头¦machine assembly::机器装配；机器组合¦cable assembly::电缆组件，光缆组件¦assembly work::装配工作¦electrode assembly::电极装置¦assembly time::装配时间；组合时间；汇编时间	instructions for assembly::装配说明（书）	n::[机]装配；集会，集合::concentration, convergence, fishing, set, gathering	adj::assembled:: 组合的；安装的¦adj::assembling:: 装配的；组合的¦n::assembling:: 装配；[计] 汇编¦n::assemblage:: 装配；集合；聚集；集会；集合物；聚集的物或人¦n::assembler:: 汇编程序；汇编机；装配工¦n::assemblyman:: 议员；装配工¦v::assembled:: 装配（assemble的过去分词）；集合¦v::assembling:: 装配（assemble的ing形式）；聚集¦vi::assemble:: 集合，聚集¦vt::assemble:: 集合，聚集；装配；收集					
associate	ə'soʃɪet	əˈsəʊʃieɪt	v::使有联系::to make a connection in your mind between one thing or person and another	associate professor::副教授¦associate with::v. 联合；与…联系在一起；和…来往¦associate degree::n. 美国大学修满二年课程的肄业证书¦associate director::副主任，副总监；副董事；联席董事；副导演¦research associate::研究助理；助理研究员¦business associate::生意伙伴；业务联合¦associate member::n. 准会员¦associate dean::副院长¦associate editor::副主编；副编辑¦associate justice::助理法官，副大法官¦associate membership::副会员，准会员资格¦associate of arts::副学士（修满两年大学课程）	Through science we've got the idea of associating progress with the future.::通过科学我们已有了将进步与未来联系起来的观念。	vi::交往；结交::company, travel, sort, mix¦n::[管理]同事，伙伴；关联的事物::brother, partner, fellow, comrade, colleague¦vt::联想；使联合；使发生联系::combine¦adj::副的；联合的::deputy, linked, vice, joint, auxiliary	adj::associated:: 关联的；联合的¦adj::associative:: 联想的；联合的；组合的¦adj::associable:: 可联想的；交感性的¦adj::associational:: 联想的；协会的¦n::association:: 协会，联盟，社团；联合；联想¦n::associability:: 可联想性；交感性¦n::associateship:: 为准会员；准社员的职位¦n::associationism:: 联想心理学；观念联合论¦v::associated:: 联系（associate的过去式和过去分词）					
attendant	ə'tɛndənt	əˈtendənt	n::服务人员::someone whose job is to look after or help customers in a public place	flight attendant::空中服务人员¦room attendant::客房服务员¦train attendant::列车服务员	a car park attendant::停车场的服务员	adj::伴随的；侍候的::accompanied¦n::服务员，侍者；随员，陪从::waiter, suite	n::attendance:: 出席；到场；出席人数¦vi::attend:: 出席；致力于；照料；照顾¦vt::attend:: 出席；上（大学等）；照料；招待；陪伴					
authentic	ɔ'θɛntɪk	ɔ:’θentik	adj::真实的::a painting, document, book etc that is authentic has been proved to be by a particular person		an authentic work by Picasso::毕加索的真迹	adj::真正的，真实的；可信的::actual, sincere, genuine, true, real	adv::authentically:: 真正地，确实地；可靠地¦n::authentication:: 证明；鉴定；证实¦n::authenticity:: 真实性，确实性；可靠性¦vt::authenticate:: 鉴定；证明…是真实的	sham				
blare	blɛr	bleə(r)	v::发出响而刺耳的声音::to make a very loud unpleasant noise		Horns blared in the street outside.::外面街道上汽车喇叭发出刺耳的鸣响。	n::嘟嘟声；号声；巨响::toot, trumpet call¦vt::嘟嘟地发出；高声发出::tootle						
bracket	'brækɪt	ˈbrækɪt	n::括号::one of the pair of signs ( ) put around words to show extra information	mounting bracket::安装支架；固定架¦support bracket::支架；支撑托架¦steel bracket::钢支架，钢角码；钢制肘板¦angle bracket::尖括号；[建筑]角形托座¦tax bracket::纳税等级¦hanging bracket::吊架¦age bracket::n. 年龄组（等于age group）¦bearing bracket::轴承座；轴承架¦pipe bracket::管托¦supporting bracket::座架，托架；支承架	So for example, tags like  or  must have a closing bracket as shown in Listing 8, taken from the above JSP.::所以，例如，从上面的 JSP 接受的如  或  这样的标记必须有一个闭括号，如清单 8 所示。¦When we detect an open bracket, we have found the start of a tag and return the collected characters after we have reversed their sequence.::当检测到一个开括号时，我们就找到了一个标签的开头，并将收集到的字符在逆转顺序之后返回。¦Well, the bracket notation means you can index into this variable.::好的，这个括号的意思是你可以,索引这个变量。	n::支架；括号；墙上凸出的托架::rest, supporting stand¦vt::括在一起；把…归入同一类；排除::eliminate, exclude						
bugle	'bjuɡl	'bju:ɡl	n::冲锋号::A bugle is a simple brass musical instrument that looks like a small trumpet. Bugles are often used in the army to announce when activities such as meals are about to begin. 		I had been seeing myself on stage, with a war bugle blowing and bullets whizzing by and here I was, a soldier crouching in his trench and ready for a bayonet charge, to take my fate by its throat.::我曾觉得自己是这样的，当军号响起，子弹就在耳旁飞过，而我就在那里，一个士兵蜷伏在战壕中并准备用刺刀冲锋，来掌握我的命运之喉。	n::喇叭；军号；筋骨草属植物::horn, loudspeaker¦vi::吹号；吹喇叭::play the trumpet, blow job	n::bugler:: 喇叭手					
