ability	ə'bɪləti	ə'bɪlɪtɪ	n::能力，能耐；才能::the state of being able to do something	innovation ability::创新能力¦ability for::在…的能力¦learning ability::学习能力¦practical ability::实践能力；实际能力¦technical ability::技术能力¦reading ability::阅读能力¦management ability::管理能力¦writing ability::写作能力；书写能力¦working ability::工作能力，加工能力¦physical ability::体能，体质能力；身体能力¦cognitive ability::认知能力¦service ability::工作能力¦ability to pay::支付能力¦combining ability::配合力¦develop ability::发挥才能¦executive ability::执行力；行政能力¦natural ability::本能¦administrative ability::行政能力；经营才能¦unique ability::独有能力¦adaptive ability::自适应能力	The test measures your mathematical ability.::这种测试考查的是数学能力。	n::能力，能耐；才能::capacity, competence, talent, quality, power			 来自able(adj. 能够…的)			
cat	kæt	kæt	n::猫，猫科动物::to pretend to allow someone to do or have what they want, and then to stop them from doing or having it	cats and dogs::[美俚]价值低的股票；杂物；（下雨）猛烈地；大量地¦black cat::黑猫（软件名称）¦bell the cat::为大家的利益承担危险¦old cat::脾气很坏的老太婆¦cat and mouse::猫戏老鼠；恣意玩弄折磨（像猫对老鼠般）¦big cat::大型猫科动物¦fat cat::[美俚]有钱有势的人；谋求特权¦wild cat::野猫；初探井，野猫井¦cat-and-dog life::(特指夫妇)过吵闹不休的生活，像猫狗一样不和 [常与动词 lead 连用，有时作 cat-and-dog existence， fight]等¦cat eye::猫眼¦cheshire cat::常露齿嘻笑的猫¦dead cat::猛烈的攻击¦like a scalded cat::拼命逃走；到处乱窜¦copy cat::盲目的模仿者¦cat burglar::飞贼；身手敏捷的贼¦siamese cat::暹罗猫¦cat scan::计算机X射线轴向分层造影扫描图¦leopard cat::豹猫¦house cat::屋猫；家猫¦pussy cat::小猫咪；没种的家伙	The police played an elaborate game of cat and mouse to trap him.::警方跟他玩了一场精心布局的猫捉老鼠游戏，诱他落网。	n::[脊椎]猫；猫科动物::pussy-cat, grimalkin	adj::catty:: 阴险的；狡猾的；如猫的¦adj::catlike:: 似猫的；蹑手蹑脚的；偷偷摸摸的¦n::catty:: 斤（中国和一些东南亚国家使用的重量单位）¦n::cattiness:: 如猫的性格；恶毒；阴险		 加菲猫(cat)在开汽车(car)			
cause	kɔz	kɔːz	n::原因；事业；目标::a person, event, or thing that makes something happen¦v::引起；使遭受::to make something happen, especially something bad	cause of::起因；属…原因¦cause for::…的原因¦in the cause of::为了¦cause of death::死因¦root cause::根本原因¦common cause::共同事业；共同目标协会；偶然原因；普通原因¦cause and effect::因果关系；原因与结果¦cause analysis::原因分析；成因分析¦internal cause::内因；内在原因¦cause of disease::病因¦cause trouble::肇事¦good cause::n. 正当理由¦cause damage to::对…造成损坏，带来损害¦immediate cause::直接原因¦failure cause::故障原因¦external cause::外因¦just cause::正义事业；正当理由¦without cause::无故；毫无原因¦show cause::说出理由¦probable cause::可能的原因；合理的根据	It’s our job to establish the cause of the fire.::查明起火原因是我们的责任。	n::原因；事业；目标::career, consideration, enterprise, matter, target¦vt::引起；使遭受::attract, produce, occasion, operate, induce	adj::causal:: 因果关系的；有原因的¦adj::causative:: 成为原因的；惹起…的¦adj::causeless:: 偶然的；无原因的¦adv::causally:: 有原因地¦n::causal:: 表示原因的连词¦n::causation:: 原因；因果关系；出现¦n::causative:: 使役动词		 和because(conj. 因为)一起记			
CD	,si: 'di:		abbr::光盘，激光唱片（Compact Disc）；呼叫设备（Calling Device）；中央地区（Central District）；商务部（Commerce Department）::	cd player::CD播放器；激光唱机¦cd rom::光盘只读存储器；只读型光盘								
ceiling	'silɪŋ	'siːlɪŋ	n::天花板；上限::the inner surface of the top part of a room	glass ceiling::玻璃天花板；玻璃顶棚¦ceiling lamp::吊灯；顶灯；天花灯¦suspended ceiling::吊车，吊顶；垂吊式天花板¦ceiling fan::吊（式）风扇；天花风扇¦ceiling board::天花板，盖板；舱内衬板¦hit the ceiling::勃然大怒¦ceiling height::室内净高；楼底高度；上升限度¦ceiling light::舱顶灯；吊灯；天棚灯；[气象]测云幂光¦price ceiling::最高价，价格上限¦ceiling price::最高限价¦ceiling panel::顶棚镶板；平顶镶板；舱底板格	rooms with high ceilings::天花板很高的房间¦a light hanging from the ceiling::吊在天花板上的灯	n::[建]天花板；上限::overhead, high limit	adj::ceilinged:: 有天花板的					
celebrate	'sɛlɪbret	'selɪbreɪt	v::庆祝；举行；赞美；祝贺；宣告::to show that an event or occasion is important by doing something special or enjoyable	celebrate with::庆祝¦celebrate christmas::庆祝圣诞	It’s Dad’s birthday and we’re going out for a meal to celebrate.::今天是爸爸的生日，我们打算出去吃饭庆祝一下。¦My folks are celebrating their 50th anniversary.::我父母正在庆祝他们结婚50周年。¦We hope to give fans something to celebrate this season.::我们希望在本赛季能给球迷一些值得庆祝的事。	vt::庆祝；举行；赞美；祝贺::stage, praise, bless, commemorate¦vi::庆祝；过节；举行宗教仪式::rejoice, whoop it up	adj::celebrated:: 著名的；有名望的¦n::celebration:: 庆典，庆祝会；庆祝；颂扬¦n::celebrant:: 司仪神父；主持仪式的人；主持弥撒的教父¦n::celebrator:: 庆祝者；祝贺的人¦v::celebrated:: 庆祝（celebrate的过去式和过去分词）					
cent	sɛnt	sent	n::分；一分的硬币；森特（等于半音程的百分之一）::1/100th of the standard unit of money in some countries. For example, there are 100 cents in one dollar or in one  euro  : symbol ¢.	red cent::一便士，一分钱	A cup of rice which cost thirty cents a few weeks ago is now being sold for up to one dollar.::几周前价值30美分的1杯米如今卖到了1美元。	n::分；一分的硬币；森特（等于半音程的百分之一）::minute, penny	adj::center:: 中央的，位在正中的¦n::center:: 中心，中央；中锋；中心点¦vi::center:: 居中，被置于中心¦vt::center:: 集中，使聚集在一点；定中心					
centre	sɛntɚ	'sentə	v::以…为中心::to move something to a position at the centre of something else¦n::中心::the middle of a space, area, or object, especially the exact middle¦adj::中央的::	in the centre of::在…的中心¦centre of gravity::重心；惯性中心¦research centre::研究中心¦business centre::商务中心；商业中心¦shopping centre::购物中心¦service centre::服务中心；维修基地¦training centre::训练中心；教导所¦centre on::集中在…上¦exhibition centre::展览中心¦sports centre::体育运动中心，运动场¦town centre::市中心；镇上的主要商业区¦control centre::控制中心；配电站¦resource centre::资源中心；资料中心¦commercial centre::商业中心¦distribution centre::分销中心，配电中心¦education centre::n. 教育中心¦medical centre::医疗中心¦logistics centre::物流中心¦centre forward::中锋；中锋区域¦data centre::数据中心；资料中心	The title isn’t quite centred on the page, is it?::标题并不在这页的正中间，是吗？	vi::以…为中心::center around, center on¦vt::集中；将…放在中央::concentrate, localise¦n::中心::focus, hub¦adj::中央的::mid, ental	adj::central:: 中心的；主要的；中枢的¦adj::centralized:: 集中的；中央集权的¦adj::centric:: 中央的，中心的¦adj::centred:: 固定于中心的；在中心的¦adj::centralist:: 拥护中央集权的¦adv::centrally:: 在中心¦n::central:: 电话总机¦n::centrist:: 中立派议员；中间派议员¦n::centrality:: 中心；中央；向心性¦n::centralization:: 集中化；中央集权管理¦n::centralisation:: （英）集中化（等于centralization）¦n::centralism:: 中央集权制；中央集权主义¦n::centralist:: 中央集权主义者¦n::centrism:: 温和主义，中间路线；中间派的政策¦v::centralized:: 集中（centralize的过去分词）¦v::centred:: 集中（centre的过去分词）；把…置于中央¦vi::centralize:: 集中；实行中央集权¦vt::centralize:: 使集中；使成为…的中心；使集权¦vt::centralise:: 把…集中起来；形成中心					
century	'sɛntʃəri	ˈsentʃərɪ	n::世纪，百年；（板球）一百分::one of the 100-year periods measured from before or after the year of Christ’s birth	the twentieth century::20世纪¦turn of the century::世纪之交；19世纪与20世纪转换交替时期；19世纪末20世纪初¦century park::世纪公园¦century hotel::世纪酒店（电影名称，酒店名称）¦the fifth century::5世纪¦quarter century::四分之一世纪	the story of life on a small farm at the turn of the century::讲述世纪初一个小农场生活的故事							
certain	'sɝtn	'sɜːt(ə)n; -tɪn	adj::某一；必然的；确信；无疑的；有把握的::confident and sure, without any doubts¦pron::某些；某几个::particular people or things in a group¦n::(Certain)人名；(葡)塞尔塔因；(法)塞尔坦::	a certain extent::一定程度上¦a certain degree::到某种程度¦for certain::肯定地；确凿地¦certain level::某一水平¦a certain amount of::一定数量的¦certain of::有把握，确信¦certain effect::一定的效果；确定效应¦make certain::弄清楚；弄确实¦certain areas::某些地区¦to be certain::肯定¦under certain circumstance::adv. 在某种情况下¦make certain of::把…了解清楚；弄明白¦certain event::必然事件；全事象	I felt certain that I’d passed the test.::我感觉自己肯定通过这次测验了。	adj::某一；必然的；确信；无疑的；有把握的::inevitable, some, necessary, automatic, secure	adv::certainly:: 当然；行（用于回答）；必定¦n::certainty:: 必然；确实；确实的事情					
chair	tʃɛr	tʃeə	n::椅子；讲座；（会议的）主席位；大学教授的职位::a piece of furniture for one person to sit on, which has a back, a seat, and four legs¦v::担任（会议的）主席；使…入座；使就任要职::to be the  chairperson  of a meeting or committee	office chair::n. 办公椅¦in the chair::处在主席地位；担任主席¦rocking chair::摇椅，安乐椅¦massage chair::按摩椅¦dining chair::餐椅¦swivel chair::n. 转椅¦wheel chair::n. 轮椅¦sedan chair::轿子¦high chair::n. （小孩吃饭时坐的）高脚椅子¦electric chair::死刑电椅；电刑¦folding chair::折叠椅，可摺椅¦take the chair::主持会议，开会；作主席¦dental chair::牙科手术椅¦bar chair::酒吧椅；钢筋座¦easy chair::n. 安乐椅¦lounge chair::睡椅，沙发床¦deck chair::折叠式躺椅；折叠帆布躺椅¦beanbag chair::豆袋椅（以小球粒填充）；变形椅（内储空气似枕头）¦take a chair::请坐；就座¦chair cover::椅套	a kitchen chair::厨房椅¦They bought a new table and chairs.::他们买了一套新的桌椅。¦One of the chair legs was broken.::椅子有一条腿断了。	n::[家具]椅子；讲座；（会议的）主席位；大学教授的职位::cathedra	n::chairmanship:: 主席的身份或资格					
chairman	'tʃɛrmən	'tʃeəmən	n::主席，会长；董事长::someone, especially a man, who is in charge of a meeting or directs the work of a committee or an organization	vice chairman::副主席；副会长¦board chairman::n. 董事长¦chairman of the board::n. 董事长；董事局主席¦deputy chairman::副主席；副董事长¦executive chairman::执行主席；执行总裁¦honorary chairman::名誉主席¦chairman mao memorial hall::毛主席纪念堂¦department chairman::系主任¦acting chairman::代理主席	deputy/vice chairman Barrett serves as vice chairman.::巴雷特担任副主席一职。	n::主席，会长；董事长::president, chief executive	n::chairmanship:: 主席的身份或资格					
chalk	tʃɔk	tʃɔːk	v::用粉笔写；用白垩粉擦；记录；规划::to write, mark, or draw something with chalk¦n::粉笔；白垩；用粉笔划的记号::soft white or grey rock formed a long time ago from the shells of small sea animals¦adj::用粉笔写的::	chalk it up::v. 记帐；宣布¦french chalk::n. 滑石粉¦chalk up::记下；取得；归咎于¦a piece of chalk::一支粉笔¦know chalk from cheese::有判断力[通常用于否定句]¦white chalk::白粉笔	He chalked the message on the blackboard.::他用粉笔把这条消息写在黑板上。	vt::用粉笔写；用白垩粉擦；记录；规划::register, formulate, programme¦n::[轻]粉笔；[岩]白垩；用粉笔划的记号::creta, pastille	adj::chalky:: 白垩的					
chance	tʃæns	tʃɑːns	n::机会，际遇；运气，侥幸；可能性::the possibility that something will happen, especially something you want¦v::偶然发生；冒……的险::to do something that you know involves a risk	by chance::偶然；意外地¦have a chance::有机会；有希望¦take a chance::vt. 冒险¦by any chance::adv. 万一¦one more chance::再来一次；再一个机会¦chance on::偶然发现；巧遇¦take the chance::碰运气；冒风险¦stand a chance of::很有可能，有……的希望¦off chance::不容易有的机会；极小的可能性¦stand a chance::有希望；有可能¦chance of a lifetime::千载难逢的良机¦outside chance::极小的可能性，不大可能的机会¦half a chance::一点点机会¦main chance::获利最大的机会¦meet by chance::萍水相逢；偶然遇见¦game of chance::机会对策；靠技巧取胜的游戏¦jump at the chance::抓住机会¦fighting chance::经过努力奋斗才能获得成功的机会¦even chance::成败机会相等¦a dog's chance::极有限的一点机会[常用于否定句]	There’s always the chance that something will go wrong.::总有可能会出现问题。¦If we did move to London, I’d stand a much better chance (= have a much better chance ) of getting a job.::如果我们真的搬到伦敦去，我找到工作的机会就大多了。¦There is little chance of her being found alive.::她生还的可能性很小。¦(= it is likely that ) you’ll be fine.::你会没事的。	n::机会，际遇；运气，侥幸；可能性::opportunity, possibility, probability, feasibility, opening¦vt::偶然发生；冒……的险::happen to¦vi::碰巧；偶然被发现::happen to do	adj::chancy:: 不确实的；偶然发生的；不安的					
