abandonment	ə'bændənmənt	əˈbændənmənt	n::放弃::The abandonment of a place, thing, or person is the act of leaving it permanently or for a long time, especially when you should not do so		...memories of her father's complete abandonment of her.::…她父亲对她的彻底抛弃的那些记忆。	n::[法]抛弃；放纵::rejection, loose	adj::abandoned:: 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的¦n::abandon:: 狂热；放任¦v::abandoned:: 抛弃（abandon的过去式和过去分词）¦vt::abandon:: 遗弃；放弃					
uneasy	ʌn'izi	ʌn'iːzɪ	adj::不安的；拘束的::not comfortable, peaceful, or relaxed	uneasy about::担忧	She eventually fell into an uneasy sleep.::她终于睡着了，但睡得并不踏实。	adj::不舒服的；心神不安的；不稳定的::uncomfortable, unstable	adv::uneasily::不自在地；不稳定地；心神不安地¦n::uneasiness::不安；担忧；局促			...it seems that consumers are growing more uneasy about handing over the massive amounts of consumer data needed to provide the personalized...::2016.12/CET6/阅读理解/第二套		
mammal	'mæml	'mæm(ə)l	n::哺乳动物::a type of animal that drinks milk from its mother’s body when it is young. Humans, dogs, and whales are mammals.	marine mammal::海产哺乳动物	Humans, dogs, elephants, and dolphins are all mammals, but birds, fish, and crocodiles are not.::人、狗、大象和海豚都是哺乳动物，而鸟、鱼和鳄鱼则不是。	n::[脊椎]哺乳动物::suckler	adj::mammalian::哺乳类动物的¦n::mammalian::哺乳类¦n::mammalogy::[脊椎] 哺乳动物学					
supplement	'sʌplɪmənt	'sʌplɪm(ə)nt	n::补角::	dietary supplement::食品强化剂；食物的补充¦nutritional supplement::营养补充品；营养增补剂¦food supplement::食品补充剂；保健品；营养品		n::补充，[图情]补遗；补充物；附录::recruitment, renewal¦vt::补充，增补::to replenish, eke	adj::supplementary::补充的；追加的¦adj::supplemental::补充的（等于supplementary）；追加的¦n::supplementary::补充者；增补物¦n::supplementation::补充；增补		supple(看作supply， 补给) ＋ ment → 补充 → 补角	...He used a strangely potent ingredient in a food supplement...::2017.12/CET6/阅读理解/第一套		
complement	ˈkɑːmplɪment	'kɒmplɪm(ə)nt	v::补充::to make a good combination with someone or something else¦n::补足（物）::someone or something that emphasizes the good qualities of another person or thing	complement system::求补系统¦complement activation::补体激活；补体的激活¦object complement::宾语补足语；宾补	The team needs players who complement each other.::球队需要能够相互取长补短的队员。¦This wine would be a nice complement to grilled dishes.::这种葡萄酒配烧烤食物会很不错。	vt::补足，补助::make up a loss, make sth up	adj::complementary::补足的，补充的¦adj::complemental::补足的；补充的；补偿的¦n::complementarity::互补性；补充；补足¦n::complementation::互补；互补作用		com(共同) ＋ ple(满， 填满) ＋ ment → 互为补充的东西	...e-learning should be seen as a complement but not a replacement of traditional classes...::2016.6/CET6/写作题/第三套	Movie directors use music to ______ the action on the screen.::4::1)contaminate 2)compliment 3)contemplate 4)complement::句意： 电影导演使用音乐来配合银幕上的表演。con-taminate： 污染； compliment： 称赞， 恭维； contemplate： 凝视； 沉思。	
compensation	,kɑmpɛn'seʃən	kɒmpen'seɪʃ(ə)n	n::补偿，赔偿，赔偿费::money paid to someone because they have suffered injury or loss, or because something they own has been damaged	compensation system::补偿制度¦error compensation::误差补偿，平差¦compensation method::补偿法¦temperature compensation::温度补偿¦reactive power compensation::无功补偿¦claim for compensation::索赔¦compensation trade::补偿贸易¦motion compensation::运动补偿；动态补偿¦economic compensation::经济赔偿¦radius compensation::半径补偿；径差补偿¦compensation package::赔偿计划；薪酬包¦executive compensation::管理层薪资水平¦without compensation::毫无补偿¦compensation principle::补偿原则¦pressure compensation::压力补偿¦compensation fund::赔偿基金¦compensation plan::酬金方案¦make compensation::补偿，赔款¦compensation insurance::职工赔偿保险¦series compensation::串联补偿	People who are wrongly arrested may be paid compensation .::被误抓的人有可能得到补偿费。	n::[会计]补偿；报酬；[保险]赔偿金::payment, consideration, insurance, reward, offset	adj::compensable::可补偿的；应予以补偿的¦vi::compensate::补偿，赔偿；抵消¦vt::compensate::补偿，赔偿；付报酬			...The 83% of American employees who are stressed about their jobs--up from 73% just a year before--say that poor compensation and an unreasonable workload are their number-one sources of stress...::2016.12/CET6/阅读理解/第三套		
humanitarian	hju,mænɪ'tɛrɪən	hjʊ,mænɪ'teərɪən	adj::博爱的::concerned with improving bad living conditions and preventing unfair treatment of people¦n::慈善家::a person involved in or connected with improving people's lives and reducing suffering	humanitarian aid::人道主义援助¦humanitarian crisis::人道主义危机	Humanitarian aid is being sent to the refugees.::正向难民提供人道主义援助。¦The well-known humanitarian, Joseph Rowntree, was concerned with the welfare of his employees.::著名的人道主义者约瑟夫.荣特里非常关心其雇员的福利。	adj::人道主义的；博爱的；基督凡人论的::philanthropic, caritative¦n::人道主义者；慈善家；博爱主义者；基督凡人论者::philanthropist, charitarian	adj::humane::仁慈的，人道的；高尚的¦adj::humanistic::人文主义的；人道主义的¦adj::humanism::人文主义的；人道主义的¦adj::humanist::人文主义的；人道主义的¦adv::humanely::人道地；富人情地；慈悲地¦n::humanity::人类；人道；仁慈；人文学科¦n::humanism::人道主义¦n::humanist::人道主义者；人类学者，人文学者；人文主义者¦n::humanitarianism::人道主义；博爱主义					
barge	bɑrdʒ	bɑːdʒ	n::驳船；大型游船::a large low boat with a flat bottom, used for carrying goods on a canal or river	barge in::v. 闯入；干涉¦barge into::闯入；与…相撞¦barge pole::n. 驳船撑竿	Carrying goods by train costs nearly three times more than carrying them by barge.::通过铁路运货的成本比驳船运货成本高出近3倍。	vi::蹒跚；闯入::titubate, burst into¦n::[船]驳船；游艇::lighter, catamaran				...the same year that a diesel-laden Brazilian barge sank near the base...::2016.12/CET6/阅读理解/第一套		
fluctuation	,flʌktʃʊ'eʃən	,flʌktʃʊ'eɪʃ(ə)n; -tjʊ-	n::波动::a change in a price, amount, level etc	economic fluctuation::经济波动¦price fluctuation::[经]价格起伏，物价波动¦voltage fluctuation::电压波动；电压升降¦temperature fluctuation::温度波动；温度涨落¦market fluctuation::市场波动；市价涨落¦speed fluctuation::速度波动；速率变动；速度忽高忽低¦fluctuation range::波动幅度¦current fluctuation::电流起伏，电流波动；日常波动¦fluctuation velocity::脉动速度，波动速度；变动速度¦cyclical fluctuation::n. 循环变动，周期性波动¦turbulent fluctuation::n. 紊流脉动；紊动	Prices are subject to fluctuation.::价格可能会有波动。	n::[海洋]起伏，[电子][物]波动::wave, undulation	adj::fluctuating::波动的；变动的¦v::fluctuating::波动（fluctuate的ing形式）¦vi::fluctuate::波动；涨落；动摇¦vt::fluctuate::使波动；使动摇					
fluctuate	'flʌktʃʊ'et	'flʌktʃʊeɪt; -tjʊ-	v::波动，使波动::to change frequently in size, amount, quality, etc., especially from one extreme to another		Insect populations fluctuate wildly from year to year.::昆虫的数量每年变化很大。¦Prices were volatile, fluctuating between 20 and 40.::价格不稳定，在20至40美元之间波动。	vi::波动；涨落；动摇::wave motion, shake¦vt::使波动；使动摇::destabilize	adj::fluctuating::波动的；变动的¦n::fluctuation::起伏，波动¦v::fluctuating::波动（fluctuate的ing形式）		flu(流动) ＋ ctu ＋ ate → 流动 → 波动， 涨落		With prices ______ so much, it is difficult for the school to plan a budget.::2::1)vibrating 2)fluctuating 3)fluttering 4)swinging::句意： 物价起伏这么大， 学校很难制订预算。vibrate： (使)振动； flutter： 拍翅； 飘动； swing： 摇摆。	
invalid	ˈɪnvəlɪd；ɪnˈvælɪd	ˈɪnvəlɪd；ɪnˈvælɪd	n::病人::someone who cannot look after themselves because of illness, old age, or injury	invalid data::无效数据；不正当数据	I hate being treated as an invalid.::我讨厌被当作病人对待。	adj::无效的；有病的；残废的::useless, disabled, ineffective¦n::病人；[医]残废者::sick, patient	n::invalidation::失效；无效¦n::invalidity::无效，无价值¦n::invalidism::病身；病弱¦vt::invalidate::使无效；使无价值				A budget of five dollars a day is totally ______ for a trip round Europe.::1::1)inadequate 2)incapable 3)incompatible 4)invalid:: 不充分的， 不适当的。句意： 环欧旅行一天5美元的预算支出是很不够的。incapable： 无能力的， 不能的； incompatible： 矛盾的。	
ward	wɔrd	wɔːd	n::病房，病室；监房::a large room in a hospital where people who need medical treatment stay	ward off::避开；挡住¦isolation ward::n. 隔离病房¦surgical ward::外科病房¦medical ward::内科病房¦maternity ward::产科病房¦ward inspection::病室巡诊，查房¦watch and ward::日夜守卫；时刻戒备	the other patients in the ward::病房里的其他病人	n::[医]病房；保卫；监视::observation, safeguard, monitoring, surveillance, watch¦vt::避开；保卫；守护::avoid, guard, shun	n::warder::看守；守卫；典狱官		war(战争) ＋ d → 战争中受伤的人被送到了病房 → 病房	...psychologist Debra Gold of the Duke Center for the study of aging and human development found that about 20% said they were hostile or indifferent to ward their sisters and brothers...::2014.6/CET6/听力题/第二套¦...the European Union is creating a $580 billion fund to ward off sovereign collapse...::2012.6/CET6/阅读理解/	Body paint or face paint is used mostly by men in pre-literate societies in order to attract good health or to ______ disease.::2::1)set aside 2)ward off 3)shrug off 4)give away:: 句意： 在史前社会， 人们通常在身体或脸上画画以期获得健康并驱除疾病。set aside： 留出， 取消； shrug off： 摆脱； give away： 放弃。	
strength	strɛŋθ	streŋθ; streŋkθ	n::兵力；强度::the number of people in a team, army etc	tensile strength::抗张强度¦actual strength::实际强度¦compressive strength::抗压强度；压缩强度¦shear strength::切变强度¦economic strength::经济实力；经济力量¦mechanical strength::机械强度¦on the strength::列入编制；是正式成员；在名册上¦impact strength::[化]冲击强度¦fatigue strength::疲劳强度¦bonding strength::结合强度；粘接强度；黏合强度¦in strength::大量地¦bending strength::弯曲强度；抗弯强度¦on the strength of::adv. 基于；凭借…；依赖…¦yield strength::屈服强度；屈变力；抗屈强度¦compression strength::抗压强度；压缩强度¦physical strength::n. 体力¦national strength::国力¦bond strength::[化]粘合强度；键强度¦concrete strength::混凝土强度¦flexural strength::[化]挠曲强度	The police force is below strength at the moment (= there are fewer police than there should be ).::目前警力不足。¦the strength of a rope::绳子的强度	n::力量；力气；兵力；长处::force, might, excellence, muscle, power	adj::strong::坚强的；强壮的；牢固的；擅长的¦adv::strong::强劲地；猛烈地¦adv::strongly::强有力地；坚强地；激烈地；气味浓地¦n::strengthener::助力器¦vi::strengthen::变强；变坚挺¦vt::strengthen::加强；巩固	weakness		...That relative strength would be consistent with what was seen in the wider retail industry during early part of the holiday season...::2017.6/CET6/阅读理解/第二套¦...But strength of will is the missing ingredient where Mr...::2016.12/CET6/阅读理解/第一套¦...the recovery's strength unclear...::2013.6/CET6/阅读理解/第二套¦...The greatest strength you bring to this essay...::2013.12/CET6/阅读理解/第一套¦...credits this younger generation's political strength to their embrace of technology...::2010.6/CET6/阅读理解/¦...What accounts for the younger generation's political strength according to Professor Henry Flores...::2010.6/CET6/阅读理解/		
