internship	'ɪntɝnʃɪp	ˈɪntɜ:nʃɪp	n::<美>实习医师::a job that lasts for a short time, that someone, especially a student, does in order to gain experience	internship programs::实习计划；实习课程	...an internship in surgery in New York.::…一个在纽约做外科实习的职位。	n::实习生；（美）实习期；实习医师职位::trainee, probationer	n::intern:: 实习生，实习医师¦n::interne:: 实习医师¦vi::intern:: 作实习医师¦vt::intern:: 拘留，软禁					
domestic	də'mɛstɪk	də'mestɪk	adj::国内的；家庭的；驯养的；一心只管家务的::relating to or happening in one particular country and not involving any other countries¦n::国货；佣人::a servant who works in a large house	domestic market::国内市场¦domestic demand::国内需求；本地内部需求¦domestic product::国内产品；本地生产¦gross domestic product (gdp)::国内生产总值¦gross domestic product (GDP)::国内生产总值¦gross domestic product::国内生产总值¦domestic industry::家庭工业；手工业生产¦domestic economy::n. 家庭经济；家政¦domestic sewage::生活污水；家庭污水¦domestic trade::国内贸易¦domestic consumption::国内消费；生活用电量；家庭用水量¦domestic violence::家庭暴力¦domestic situation::国内形势¦domestic water::生活用水；家庭用水¦domestic animal::家畜¦expand domestic demand::扩大内需¦domestic service::n. 国内航线¦domestic sale::内销¦domestic garbage::生活垃圾¦domestic affairs::国内事务；家事	Unfortunately his domestic life wasn’t very happy.::不幸的是，他的家庭生活并不幸福。	adj::国内的；家庭的；驯养的；一心只管家务的::internal, household, home, family¦n::国货；佣人::servant	adj::domesticated:: 家养的；驯服的；喜欢家庭生活的¦adv::domestically:: 国内地；家庭式地；适合国内地¦n::domestication:: 驯养；教化¦n::domesticity:: 家庭生活；专心于家务；对家庭的挚爱¦v::domesticated:: 驯养（domesticate的过去分词）；使习惯于家庭生活¦vi::domesticate:: 驯养；使习惯于或喜爱家务和家庭生活¦vt::domesticate:: 驯养；教化；引进					
domesticate	də'mɛstɪket	də'mestɪkeɪt	v::驯养；教化；引进::to make an animal able to work for people or live with them as a pet		We domesticated the dog to help us with hunting.::我们驯养狗来帮助我们打猎。	vt::驯养；教化；引进::introduce, to teach	adj::domestic:: 国内的；家庭的；驯养的；一心只管家务的¦adj::domesticated:: 家养的；驯服的；喜欢家庭生活的¦adv::domestically:: 国内地；家庭式地；适合国内地¦n::domestic:: 国货；佣人¦n::domestication:: 驯养；教化¦n::domesticity:: 家庭生活；专心于家务；对家庭的挚爱¦v::domesticated:: 驯养（domesticate的过去分词）；使习惯于家庭生活					
domesticity	'domɛ'stɪsəti	,dɒme'stɪsɪtɪ; ,dəʊm-	n::家庭生活；专心于家务；对家庭的挚爱::life at home with your family		a scene of happy domesticity::一个幸福家庭生活的场景	n::家庭生活；专心于家务；对家庭的挚爱::family life, domestic life	adj::domestic:: 国内的；家庭的；驯养的；一心只管家务的¦adj::domesticated:: 家养的；驯服的；喜欢家庭生活的¦adv::domestically:: 国内地；家庭式地；适合国内地¦n::domestic:: 国货；佣人¦v::domesticated:: 驯养（domesticate的过去分词）；使习惯于家庭生活¦vi::domesticate:: 驯养；使习惯于或喜爱家务和家庭生活¦vt::domesticate:: 驯养；教化；引进					
domicile	'dɑmɪsaɪl	'dɒmɪsaɪl; -sɪl	n::住宅；永久居住地；期票支付场所::the place where someone lives¦v::居住::		Military service entails frequent changes of domicile.::服兵役需要频繁更换住所。	n::住宅；永久居住地；[金融]期票支付场所::residence, home¦vi::居住::belong, room, harbor, live, dwell	n::domiciliate:: 住处；期票支付场所¦vi::domiciliate:: 定居；决定住处¦vt::domiciliate:: 使定居；使通俗化					
dominant	'dɑmɪnənt	'dɒmɪnənt	adj::显性的；占优势的；支配的，统治的::more powerful, important, or noticeable than other people or things¦n::显性::	dominant role::主要角色¦dominant effect::显性效应；显性效果¦diagonally dominant::对角占优；对角优势的¦dominant mode::主要模型；振荡基型；波基型；振荡¦dominant frequency::优势频率，主频率¦dominant gene::显性基因¦dominant culture::主流文化；主文化；主导文化¦autosomal dominant inheritance::常染色体显性遗传¦diagonally dominant matrix::对角主导矩阵¦dominant hue::主色调， 支配彩色¦dominant character::优势遗传性质，主宰形质；显性性状¦dominant strategy::优势策略；占优战略¦dominant wavelength::[光学]主波长；支配彩色的波长¦dominant hand::优势手¦dominant pole::主极点；主导极点	The dominant male gorilla is the largest in the group.::领头的公猩猩是这群大猩猩中体形最大的一个。¦Japan became dominant in the mass market during the 1980s.::20世纪80年代日本在大众市场上开始占据优势。¦its dominant position within the group::它在该组织中的突出地位	adj::显性的；[生物]占优势的；[数]支配的，统治的::ruling, predominant	adj::dominated:: 占主导地位的；强势的；占统治地位的；[数] 受控的¦adj::dominating:: 主要的；独裁的；专横的¦n::dominance:: 优势；统治；支配¦n::domination:: 控制；支配¦v::dominated:: 控制，支配；处于支配地位（dominate的过去式）¦v::dominating:: 支配；统治（dominate的ing形式）¦vi::dominate:: 占优势；处于支配地位¦vt::dominate:: 控制；支配；占优势；在…中占主要地位					
dominate	'dɑmɪnet	'dɒmɪneɪt	v::控制；支配；占优势；在…中占主要地位::to control someone or something or to have more importance than other people or things	dominate the market::欺行霸市	The industry is dominated by five multinational companies.::这个行业受五家跨国公司控制。¦New Orleans dominated throughout the game.::新奥尔良队自始至终都控制着这场比赛。¦Her loud voice totally dominated the conversation.::她的大嗓门完全主导着这场谈话。¦Education issues dominated the election campaign.::教育问题成了这次选举活动的主要辩题。	vt::控制；支配；占优势；在…中占主要地位::possess, contain, regulate, bit, bottle¦vi::占优势；处于支配地位::advantage over, prevail over	adj::dominant:: 显性的；占优势的；支配的，统治的¦adj::dominated:: 占主导地位的；强势的；占统治地位的；[数] 受控的¦adj::dominating:: 主要的；独裁的；专横的¦n::dominant:: 显性¦n::dominance:: 优势；统治；支配¦n::domination:: 控制；支配¦n::dominion:: 主权，统治权；支配；领土¦v::dominated:: 控制，支配；处于支配地位（dominate的过去式）¦v::dominating:: 支配；统治（dominate的ing形式）					
domineer	,dɔmi'niə	,dɒmɪ'nɪə	v::跋扈；作威作福::		It pleased me to domineer over her, and she generally submitted to my tyranny rather than risk a hand-to-hand encounter.::我喜欢对她作威作福，而她通常宁可屈从我的专横，不愿冒著和我直接冲突的危险。	vi::跋扈；作威作福::lord	adj::domineering:: 跋扈的；专横的；盛气凌人的¦v::domineering:: 实行暴政；高耸；流行（domineer的ing形式）					
domineering	'dɑmə'nɪrɪŋ	dɒmɪ'nɪərɪŋ	adj::跋扈的；专横的；盛气凌人的::someone who is domineering tries to control other people without considering their feelings or ideas – used to show disapproval¦v::实行暴政；高耸；流行（domineer的ing形式）::		a domineering mother::专横的母亲	adj::跋扈的；专横的；盛气凌人的::imperious, presumptuous¦v::实行暴政；高耸；流行（domineer的ing形式）::soaring	adj::dominating:: 主要的；独裁的；专横的¦n::dominatrix:: 女性施虐狂；专横的女人；假装规矩而实际上提供性服务的女人¦v::dominating:: 支配；统治（dominate的ing形式）¦vi::domineer:: 跋扈；作威作福¦vt::domineer:: 盛气凌人					
dominion	də'mɪnɪən	də'mɪnjən	n::主权，统治权；支配；领土::the power or right to rule people or control something		the king’s dominions::国王的领地	n::[法]主权，统治权；支配；领土::territory, governance, disposal, sovereignty, ruling	adj::dominated:: 占主导地位的；强势的；占统治地位的；[数] 受控的¦adj::dominating:: 主要的；独裁的；专横的¦n::domination:: 控制；支配¦v::dominated:: 控制，支配；处于支配地位（dominate的过去式）¦v::dominating:: 支配；统治（dominate的ing形式）¦vi::dominate:: 占优势；处于支配地位¦vt::dominate:: 控制；支配；占优势；在…中占主要地位					
domino	'dɑməno	'dɒmɪnəʊ	n::多米诺骨牌；面具；化装外衣::one of a set of small flat pieces of wood, plastic etc, with different numbers of spots, used for playing a game	domino effect::多米诺效应（政治术语，指一事件引起连锁反应）	I used to play dominoes there.::我过去常在那里玩多米诺骨牌游戏。	n::多米诺骨牌；面具；化装外衣::mask, face-piece						
don		dɒn	n::先生，阁下；指导教师，大学教师::a university teacher, especially one who teaches at the universities of Oxford or Cambridge¦v::穿上::to put on a hat, coat etc	don juan::n. 唐璜（西班牙传说人物）；淫荡者；游手好闲者¦don giovanni::唐乔凡尼（莫扎特于1787年作的歌剧）	He donned his cloak and gloves.::他穿戴上他的披风和手套。	n::先生，阁下；指导教师，大学教师::sir, gentleman, academic, Mister¦vt::穿上::attire in, to put on						
donate	'donet	də(ʊ)'neɪt	v::捐赠；捐献::to give something, especially money, to a person or an organization in order to help them¦n::捐赠；捐献::	donate money::捐款	people who volunteer to donate blood::自愿献血者	vt::捐赠；[经]捐献::make a contribution to, endow¦vi::捐赠；[经]捐献::give, make a contribution to¦n::捐赠；[经]捐献::contribution, endowment, subscription	adj::donated:: 捐赠的¦n::donation:: 捐款，捐赠物；捐赠¦v::donated:: 捐赠（donate的过去分词形式）					
donation	do'neʃən	də(ʊ)'neɪʃ(ə)n	n::捐款，捐赠物；捐赠::something, especially money, that you give to a person or an organ-ization in order to help them	blood donation::献血；捐血；供血¦charitable donation::慈善捐款	There have been generous donations from EU funds.::欧盟基金给予了慷慨的捐款。	n::捐款，[经]捐赠物；捐赠::endowment, offertory	adj::donor:: 捐献的；经人工授精出生的¦adj::donated:: 捐赠的¦n::donate:: 捐赠；捐献¦n::donor:: 捐赠者；供者；赠送人¦v::donated:: 捐赠（donate的过去分词形式）¦vi::donate:: 捐赠；捐献¦vt::donate:: 捐赠；捐献					
donator	dəu'neitə, 'dəu-		n::捐赠者::		Out of pressing need, the mother complies but the donator disappeared without forking up.::迫于所需的母亲照办了，但是捐赠者却食言消失了。	n::捐赠者::donor						
done	dʌn	dʌn	adj::已完成的；做好了的；煮熟的；合乎礼仪的；合乎规矩::finished or completed¦int::表示接受建议::¦v::做（do的过去分词）::¦n::（西、罗）多内（人名）；（英）多恩（人名）::	have done::[口语]¦done in::疲倦不堪¦had done::过去完成时¦done for::不中用的；疲倦不堪¦done with::完毕¦well done::做得好；全熟¦work done::工作量；作功¦could have done::本来能做成的（却没做成）¦easier said than done::说来容易做起来难¦would have done::过去将来完成时（可用于虚拟句，表示与过去的事实相反）；过去将来完成时（表示在过去某一时间对将来某一时刻以前所会发生的动作）¦should have done::本应当做某事¦must have done::必定做了…（表示对过去的推测）¦i'm done::结束；我完成了¦have done with::做完；和…无关¦done is done::过去的已经过去了¦over and done with::完结	The job’s nearly done.::工作快做完了。¦Are you done with this magazine?::这本杂志你看完了吗？¦I’ll be glad when the exams are over and done with (= completely finished ) .::等考试全部结束我就开心了。	adj::完成了；做好了的；煮熟的；合乎礼仪的::cooked, boiled						
donkey	'dɔŋki	'dɒŋkɪ	n::驴子；傻瓜；顽固的人::a grey or brown animal like a horse, but smaller and with long ears			n::驴子；傻瓜；顽固的人::ass, stupid						
donor	'donɚ	'dəʊnə; -nɔː	n::捐赠者；供者；赠送人::a person, group etc that gives something, especially money, to help an organization or country¦adj::捐献的；经人工授精出生的::Donor organs or parts are organs or parts of the body which people allow doctors to use to help people who are ill	donor site::施主能级供体部位；给位；施主能级¦electron donor::给电子体¦blood donor::n. 献血者，供血者；给血者¦donor cell::[生]供体细胞；[药]供给宝¦sperm donor::捐献精子的人	We urgently need more assistance from donor countries (= countries that give money, food etc to help in poor countries or disaster areas ) .::我们急需捐赠国的更多援助。¦An anonymous donor (= whose name is unknown ) has given £500 towards the restoration fund.::一位匿名捐赠者向重建基金捐了500英镑。¦...the severe shortage of donor organs.::…捐献器官的严重匮乏。	n::[法]捐赠者；供者；赠送人::donator	n::donation:: 捐款，捐赠物；捐赠¦n::donee:: 受赠者，[经] 受赠人					
donut	'do,nʌt; 'do,nət	'dəʊnət	n::炸面圈；环状线圈（等于doughnut）::			n::炸面圈；环状线圈（等于doughnut）::toroidal winding						
doodle	'dudl	'duːd(ə)l	v::涂鸦；闲混；随意弹奏::When someone doodles, they draw doodles¦n::涂鸦；蠢人::A doodle is a pattern or picture that you draw when you are bored or thinking about something else		He looked across at Jackson, doodling on his notebook.::他一边看着对面的杰克逊，一边在笔记本上信手涂鸦。¦Dillworthy was staring into space, with a scrawl of doodles on the pad in front of him.::迪尔沃西凝望着天空，面前的纸上满是涂鸦。	vi::涂鸦；闲混；随意弹奏::lounge away, drone away¦n::涂鸦；蠢人::ass, conehead¦vt::乱涂出；闲混；随意弹奏::lounge away, drone away						
